#name: S.cerevisiae - Whole organism, SC (PeptideAtlas,March,2013)
#score: 22.02
#weight: 90%
#description: abundance based on Spectral counting, from<a href="http://www.peptideatlas.org/builds/" target="_blank">PeptideAtlas,March,2013</a><br/><b>Interaction consistency score</b>: 22.02&nbsp<b>Coverage</b>: 72
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 72
#publication_year: 2013
#filename: 4932-PA_201303.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
629238	4932.YBR177C	158	762
631959	4932.YIL140W	2.1	20
633163	4932.YLR268W	54.1	155
634527	4932.YOR011W	0.392	9
632207	4932.YJL155C	6.0	28
633086	4932.YLR197W	822	4666
635261	4932.YPR023C	24.3	110
628802	4932.YAL008W	6.26	16
634282	4932.YNR028W	2.71	12
633654	4932.YMR111C	3.89	19
629327	4932.YBR255W	0.518	5
632170	4932.YJL122W	81.6	102
628861	4932.YAL056W	0.453	4
631318	4932.YGR148C	4076	2514
632406	4932.YJR122W	3.22	21
632258	4932.YJL204C	1.38	11
634005	4932.YNL103W	13.7	77
635088	4932.YPL144W	5.09	8
629166	4932.YBR111W-A	28.4	31
633893	4932.YMR323W	9.87	257
629194	4932.YBR135W	44.0	71
633125	4932.YLR233C	4.78	41
629220	4932.YBR160W	70.3	228
629811	4932.YDL238C	2.09	15
632130	4932.YJL082W	8.76	72
631548	4932.YHR007C	128	995
631621	4932.YHR067W	0.189	1
635138	4932.YPL191C	0.696	2
632655	4932.YKL190W	68.4	154
630974	4932.YGL084C	4.73	45
630160	4932.YDR312W	13.3	115
633251	4932.YLR348C	20.8	55
632530	4932.YKL074C	4.16	28
634323	4932.YNR067C	48.6	492
634059	4932.YNL152W	2.34	12
633288	4932.YLR382C	1.6	19
632409	4932.YJR125C	59.8	195
632554	4932.YKL096W-A	2.26	1
630796	4932.YFL045C	717	2491
630753	4932.YFL010C	183	304
629974	4932.YDR141C	10.6	245
632181	4932.YJL131C	9.25	19
629742	4932.YDL170W	4.05	23
629172	4932.YBR117C	13.4	121
632311	4932.YJR028W	46.8	7632
632192	4932.YJL140W	104	219
633108	4932.YLR219W	4.89	37
635050	4932.YPL108W	0.604	1
630827	4932.YFR008W	5.08	11
629913	4932.YDR083W	20.7	72
633543	4932.YMR009W	27.3	59
634646	4932.YOR123C	18.2	92
632232	4932.YJL179W	67.1	67
630108	4932.YDR261W-A	2.34	207
633972	4932.YNL072W	2.38	11
630217	4932.YDR363W	0.834	3
630770	4932.YFL021W	28.2	117
632273	4932.YJL219W	0.417	13
630165	4932.YDR316W-A	44.5	7543
633266	4932.YLR362W	2.5	23
632539	4932.YKL083W	0.786	1
633845	4932.YMR283C	0.181	1
634597	4932.YOR074C	37.7	173
634964	4932.YPL024W	0.242	1
632594	4932.YKL134C	4.01	37
629920	4932.YDR090C	0.332	1
631925	4932.YIL108W	19.2	178
635111	4932.YPL166W	0.191	1
633109	4932.YLR220W	15.9	63
629345	4932.YBR273C	13.6	56
630824	4932.YFR005C	1.11	6
631278	4932.YGR111W	6.16	29
630627	4932.YER093C-A	1.49	3
628823	4932.YAL026C	6.26	90
634371	4932.YOL034W	0.649	7
633291	4932.YLR385C	6.82	12
632420	4932.YJR135W-A	50.4	73
630765	4932.YFL017W-A	4.0	4
630877	4932.YFR050C	92.5	294
628925	4932.YBL008W	3.4	37
633360	4932.YLR447C	221	1221
631131	4932.YGL237C	5.05	8
634397	4932.YOL058W	1841	5815
631874	4932.YIL062C	133	263
629841	4932.YDR016C	77.1	49
634286	4932.YNR032C-A	33.5	42
634501	4932.YOL156W	0.417	13
628890	4932.YAR019C	7.97	127
630147	4932.YDR299W	22.5	164
634461	4932.YOL116W	7.29	27
632201	4932.YJL149W	0.256	2
633527	4932.YML129C	52.2	45
631151	4932.YGL257C	0.64	3
630035	4932.YDR196C	11.0	25
629269	4932.YBR202W	12.1	123
631663	4932.YHR101C	18.4	64
634147	4932.YNL239W	108	699
629352	4932.YBR280C	0.476	5
634287	4932.YNR032W	1.32	10
634301	4932.YNR045W	0.126	1
633502	4932.YML105C	89.7	216
634344	4932.YOL010W	16.0	99
632838	4932.YLL040C	8.46	285
631905	4932.YIL091C	10.7	81
634859	4932.YOR322C	4.01	33
629256	4932.YBR193C	21.0	35
635046	4932.YPL104W	1.81	12
633136	4932.YLR244C	219	1171
628851	4932.YAL046C	10.5	15
633145	4932.YLR253W	2.57	16
628842	4932.YAL039C	7.26	16
634272	4932.YNR018W	13.3	32
633899	4932.YNL003C	4.32	17
629758	4932.YDL185W	717	9959
630874	4932.YFR047C	24.3	81
631265	4932.YGR100W	3.61	46
631923	4932.YIL106W	6.18	35
634148	4932.YNL240C	4.71	25
629219	4932.YBR159W	223	803
630219	4932.YDR364C	0.138	1
633525	4932.YML127W	46.0	326
630265	4932.YDR404C	40.1	118
633077	4932.YLR188W	8.69	47
631249	4932.YGR084C	30.2	137
633255	4932.YLR352W	7.16	81
630840	4932.YFR018C	0.366	2
629118	4932.YBR069C	3.25	28
631188	4932.YGR028W	3.06	12
631707	4932.YHR141C	875	324
633258	4932.YLR355C	3156	13250
632393	4932.YJR110W	0.373	4
631048	4932.YGL157W	146	782
635071	4932.YPL128C	28.7	174
632375	4932.YJR093C	21.8	86
631297	4932.YGR128C	74.2	623
634432	4932.YOL090W	40.9	520
633199	4932.YLR300W	193	1089
628917	4932.YBL003C	1126	1857
632425	4932.YJR140C	0.472	9
632378	4932.YJR095W	2.51	11
634275	4932.YNR021W	91.7	598
633714	4932.YMR164C	0.089	1
635008	4932.YPL067C	10.9	39
630240	4932.YDR380W	86.1	692
630990	4932.YGL100W	21.3	88
629147	4932.YBR094W	6.89	85
631674	4932.YHR112C	33.9	138
632651	4932.YKL186C	22.4	52
634261	4932.YNR007C	4.67	19
631211	4932.YGR047C	9.53	137
633781	4932.YMR224C	1.66	10
630348	4932.YDR485C	5.34	46
632879	4932.YLR011W	0.481	2
