"ORF"	"Gene"	"Expression"
"YAL001C"	"TFC3"	"1.47"
"YAL002W"	"VPS8"	"0.79"
"YAL004W"	"YAL004W"	"25.77"
"YAL005C"	"SSA1"	"27.08"
"YAL008W"	"FUN14"	"3.24"
"YAL009W"	"SPO7"	"1.68"
"YAL010C"	"MDM10"	"0.86"
"YAL011W"	"YAL011W"	"0.6"
"YAL012W"	"CYS3"	"17.67"
"YAL013W"	"DEP1"	"1.34"
"YAL014C"	"YAL014C"	"3.31"
"YAL015C"	"NTG1"	"0.72"
"YAL016W"	"TPD3"	"3.72"
"YAL017W"	"FUN31"	"0.37"
"YAL019W"	"FUN30"	"2.17"
"YAL021C"	"CCR4"	"1.56"
"YAL022C"	"FUN26"	"2.26"
"YAL024C"	"LTE1"	"0.24"
"YAL025C"	"MAK16"	"5.9"
"YAL026C"	"DRS2"	"1.33"
"YAL027W"	"YAL027W"	"1.16"
"YAL028W"	"YAL028W"	"0.19"
"YAL029C"	"MYO4"	"1.85"
"YAL030W"	"SNC1"	"7.3"
"YAL031C"	"FUN21"	"0.83"
"YAL032C"	"FUN20"	"0.97"
"YAL033W"	"POP5"	"3.49"
"YAL034C"	"FUN19"	"2.61"
"YAL035W"	"FUN12"	"4.22"
"YAL036C"	"FUN11"	"8.3"
"YAL037W"	"YAL037W"	"0.19"
"YAL039C"	"CYC3"	"1.85"
"YAL041W"	"CDC24"	"1.72"
"YAL042W"	"FUN9"	"6.95"
"YAL044C"	"GCV3"	"27.97"
"YAL046C"	"YAL046C"	"13.33"
"YAL047C"	"SPC72"	"1.16"
"YAL048C"	"YAL048C"	"0.21"
"YAL049C"	"YAL049C"	"7.08"
"YAL051W"	"YAF1"	"0.74"
"YAL053W"	"YAL053W"	"4.51"
"YAL054C"	"ACS1"	"0.28"
"YAL055W"	"YAL055W"	"1.12"
"YAL056W"	"YAL056W"	"0.91"
"YAL058W"	"CNE1"	"1.02"
"YAL059W"	"ECM1"	"8.14"
"YAL061W"	"YAL061W"	"0.71"
"YAL062W"	"GDH3"	"0.49"
"YAL065C"	"YAL065C"	"0.23"
"YAL069W"	"YAL069W"	"0.54"
"YAR002W"	"YAR002W"	"1.95"
"YAR003W"	"YAR003W"	"0.86"
"YAR007C"	"RFA1"	"2.26"
"YAR008W"	"SEN34"	"0.55"
"YAR014C"	"YAR014C"	"0.68"
"YAR015W"	"ADE1"	"3.97"
"YAR019C"	"CDC15"	"1.12"
"YAR023C"	"YAR023C"	"0.77"
"YAR027W"	"YAR027W"	"3.1"
"YAR028W"	"YAR028W"	"2.88"
"YAR030C"	"YAR030C"	"0.49"
"YAR031W"	"YAR031W"	"0.54"
"YAR033W"	"YAR033W"	"0.85"
"YAR042W"	"SWH1"	"0.57"
"YAR071W"	"PHO11"	"5.95"
"YAR073W"	"YAR073W"	"0.78"
"YAR075W"	"YAR075W"	"0.15"
"YBL001C"	"ECM15"	"5.49"
"YBL002W"	"HTB2"	"33.24"
"YBL003C"	"HTA2"	"43.94"
"YBL004W"	"YBL004W"	"1.64"
"YBL005W"	"PDR3"	"1.01"
"YBL007C"	"SLA1"	"1.93"
"YBL008W"	"HIR1"	"0.27"
"YBL009W"	"YBL009W"	"0.64"
"YBL010C"	"YBL010C"	"0.33"
"YBL011W"	"SCT1"	"6.69"
"YBL012C"	"YBL012C"	"0.25"
"YBL014C"	"RRN6"	"0.54"
"YBL015W"	"ACH1"	"0.93"
"YBL016W"	"FUS3"	"1.52"
"YBL018C"	"POP8"	"3.7"
"YBL020W"	"RFT1"	"1.56"
"YBL021C"	"HAP3"	"1.96"
"YBL022C"	"PIM1"	"0.99"
"YBL023C"	"MCM2"	"2.24"
"YBL027W"	"RPL19B"	"90.27"
"YBL028C"	"YBL028C"	"7.37"
"YBL030C"	"PET9"	"37.04"
"YBL031W"	"SHE1"	"0.88"
"YBL032W"	"YBL032W"	"8.55"
"YBL033C"	"RIB1"	"3.7"
"YBL034C"	"STU1"	"0.32"
"YBL035C"	"POL12"	"0.36"
"YBL036C"	"YBL036C"	"3.66"
"YBL038W"	"MRPL16"	"2.43"
"YBL039C"	"URA7"	"11.1"
"YBL040C"	"ERD2"	"5.82"
"YBL041W"	"PRE7"	"14.65"
"YBL042C"	"FUI1"	"3.27"
"YBL043W"	"ECM13"	"0.49"
"YBL044W"	"YBL044W"	"0.2"
"YBL045C"	"COR1"	"5.39"
"YBL046W"	"YBL046W"	"0.83"
"YBL047C"	"YBL047C"	"6.6"
"YBL050W"	"SEC17"	"8.84"
"YBL051C"	"YBL051C"	"2.5"
"YBL052C"	"SAS3"	"0.94"
"YBL054W"	"YBL054W"	"2.69"
"YBL055C"	"YBL055C"	"1.83"
"YBL057C"	"YBL057C"	"4.31"
"YBL058W"	"SHP1"	"3.86"
"YBL060W"	"YBL060W"	"0.53"
"YBL061C"	"SKT5"	"1.17"
"YBL062W"	"YBL062W"	"4.41"
"YBL063W"	"KIP1"	"0.33"
"YBL064C"	"YBL064C"	"6.81"
"YBL065W"	"YBL065W"	"0.18"
"YBL066C"	"SEF1"	"0.63"
"YBL067C"	"UBP13"	"2.58"
"YBL068W"	"PRS4"	"8.25"
"YBL069W"	"AST1"	"1.5"
"YBL070C"	"YBL070C"	"1.41"
"YBL071C"	"YBL071C"	"6.15"
"YBL073W"	"YBL073W"	"0.13"
"YBL074C"	"AAR2"	"0.26"
"YBL075C"	"SSA3"	"0.55"
"YBL076C"	"ILS1"	"10.13"
"YBL077W"	"YBL077W"	"6.01"
"YBL079W"	"NUP170"	"1.27"
"YBL080C"	"PET112"	"0.33"
"YBL081W"	"YBL081W"	"6.17"
"YBL083C"	"YBL083C"	"5.27"
"YBL085W"	"BOI1"	"0.99"
"YBL086C"	"YBL086C"	"0.74"
"YBL088C"	"TEL1"	"1.3"
"YBL089W"	"YBL089W"	"1.17"
"YBL090W"	"MRP21"	"4.75"
"YBL091C"	"MAP2"	"2.67"
"YBL092W"	"RPL32"	"324.78"
"YBL093C"	"ROX3"	"1.71"
"YBL095W"	"YBL095W"	"0.85"
"YBL096C"	"YBL096C"	"0.58"
"YBL097W"	"BRN1"	"0.06"
