"Kulak_rank","ORF","Kulak_abundance"
1,"YGR192C",1575311
2,"YHR174W",929818
3,"YKL060C",847652
4,"YLR044C",705652
5,"YBR118W;YPR080W",630115
6,"YCR012W",561265
7,"YOL086C",547967
8,"YKL152C",522238
9,"YLR109W",44354
10,"YOL039W",420789
11,"YAL038W",404162
12,"YDR050C",395237
13,"YAL005C",37376
14,"YNL209W",356434
15,"YLL045C",309512
16,"YAL003W",304332
17,"YOR096W",300804
18,"YML024W;YDR447C",297762
19,"YDR155C",296564
20,"YHL015W",281698
21,"YDR382W",279409
22,"YDR224C;YBL002W",274181
23,"YDL075W",273991
24,"YEL034W",273594
25,"YGL147C",265169
26,"YOR369C",258298
27,"YFL014W",254757
28,"YDL083C;YMR143W;YDL083C;YMR143W",250617
29,"YLR043C",243325
30,"YMR186W",237929
31,"YIL053W",235727
32,"YOL127W",23211
33,"YDR450W;YML026C;YDR450W;YML026C",232082
34,"YHR010W;YDR471W",227859
35,"YOL121C;YNL302C",227054
36,"YMR116C",22518
37,"YML063W",224652
38,"YGL103W",223704
39,"YBR048W;YDR025W;YBR048W;YDR025W",213323
40,"YDL081C",212462
41,"YHR193C",208442
42,"YKL056C",205582
43,"YBR196C",203895
44,"YGL076C",203706
45,"YLL050C",201066
46,"YJL138C;YKR059W",196313
47,"YKR057W;YJL136C",19588
48,"YGR118W;YPR132W;YGR118W;YPR132W",194438
49,"YDR418W;YEL054C;YDR418W;YEL054C",194223
50,"YLR340W",190512
51,"YNL096C",185693
52,"YNL178W",185482
53,"YGL030W",185375
54,"YER177W",182011
55,"YDR385W;YOR133W",181723
56,"YGL123W",181226
57,"YGL135W;YPL220W;YGL135W;YPL220W",180247
58,"YLR249W",179971
59,"YKL156W;YHR021C",177207
60,"YBR011C",175128
61,"YML028W",171854
62,"YJR009C",171296
63,"YOL109W",168484
64,"YLR448W",166158
65,"YPL079W",165715
66,"YOR063W",163811
67,"YBR009C;YNL030W",159789
68,"YKL180W;YJL177W",15839
69,"YLR075W",158153
70,"YLR167W;YLL039C",156086
71,"YPR102C;YGR085C",153533
72,"YNL069C",152096
73,"YMR230W;YOR293W",15124
74,"YER043C",148844
75,"YBL092W",143779
76,"YGR037C",142817
77,"YGL253W",140914
78,"YDL136W;YDL191W;YDL136W;YDL191W",140012
79,"YNL135C",13922
80,"YBR072W",139024
81,"YER074W;YIL069C;YER074W;YIL069C",138708
82,"YLR355C",136282
83,"YPL037C",135399
84,"YDL130W",134737
85,"YOR332W",133366
86,"YIL051C",131049
87,"YJL190C;YLR367W",129462
88,"YNL055C",126951
89,"YPL106C",126572
90,"YJR123W",126214
91,"YJL052W",125724
92,"YLR344W;YGR034W",12572
93,"YLR150W",123605
94,"YJR104C",120616
95,"YNL301C;YOL120C;YNL301C;YOL120C",120489
96,"YBR181C;YPL090C;YBR181C;YPL090C",120281
97,"YFL039C",117202
