ORF;Gene Name;Raw Half life;Corrected Half Life
YAL001C;TFC3;475;475
YAL005C;SSA1;77;77
YAL007C;ERP2;49;49
YAL008W;FUN14;26;26
YAL010C;MDM10;43;43
YAL011W;SWC3;56;56
YAL016W;TPD3;180;180
YAL017W;PSK1;3;3
YAL019W;FUN30;28;28
YAL021C;CCR4;224;224
YAL022C;FUN26;3;3
YAL023C;PMT2;61;61
YAL024C;LTE1;144;144
YAL026C;DRS2;20;20
YAL027W;;36;36
YAL031C;FUN21;17;17
YAL032C;PRP45;474;474
YAL033W;POP5;47;47
YAL034W-A;MTW1;-599;300
YAL035W;FUN12;321;321
YAL036C;RBG1;57;57
YAL039C;CYC3;2;2
YAL041W;CDC24;73;73
YAL046C;;115997;115997
YAL047C;SPC72;-191;300
YAL049C;;560;560
YAL053W;;29;29
YAL054C;ACS1;29;29
YAL055W;PEX22;70;70
YAL056W;GPB2;8;8
YAL058W;CNE1;71;71
YAL059W;ECM1;36;36
YAL060W;BDH1;68;68
YAR002C-A;ERP1;33;33
YAR002W;NUP60;15;15
YAR003W;SWD1;42;42
YAR007C;RFA1;35;35
YAR014C;BUD14;29;29
YAR015W;ADE1;77;77
YAR019C;CDC15;109;109
YAR028W;;62;62
YAR031W;PRM9;104;104
YAR062W;;54;54
YAR071W;PHO11;10;10
YBL001C;ECM15;124;124
YBL002W;HTB2;-1503;300
YBL003C;HTA2;167;167
YBL005W;PDR3;51;51
YBL007C;SLA1;41;41
YBL008W;HIR1;49;49
YBL010C;;111;111
YBL011W;SCT1;205;205
YBL014C;RRN6;33;33
YBL015W;ACH1;6;6
YBL016W;FUS3;43;43
YBL017C;PEP1;30;30
YBL018C;POP8;45;45
YBL019W;APN2;40;40
YBL021C;HAP3;51;51
YBL023C;MCM2;124;124
YBL024W;NCL1;36;36
YBL025W;RRN10;411;411
YBL026W;LSM2;31;31
YBL027W;RPL19B;48;48
YBL028C;;73;73
YBL029C-A;;12;12
YBL029W;;31;31
YBL032W;HEK2;-283;300
YBL033C;RIB1;-497;300
YBL034C;STU1;100;100
YBL035C;POL12;52;52
YBL036C;;-80;300
YBL037W;APL3;47;47
YBL038W;MRPL16;276;276
YBL039C;URA7;389;389
YBL040C;ERD2;96;96
YBL042C;FUI1;-526;300
YBL045C;COR1;291;291
YBL046W;;65;65
YBL047C;EDE1;74;74
YBL051C;PIN4;20;20
YBL052C;SAS3;7;7
YBL054W;;18;18
YBL055C;;58;58
YBL056W;PTC3;54;54
YBL057C;PTH2;34;34
YBL058W;SHP1;62;62
YBL059C-A;;58;58
YBL059W;;71;71
YBL060W;;22;22
YBL061C;SKT5;10;10
YBL064C;PRX1;117;117
YBL067C;UBP13;32;32
YBL068W;PRS4;116;116
YBL069W;AST1;6;6
YBL074C;AAR2;250;250
YBL075C;SSA3;59;59
YBL076C;ILS1;88;88
YBL078C;ATG8;289;289
YBL079W;NUP170;20;20
YBL082C;RHK1;30;30
YBL084C;CDC27;3;3
YBL085W;BOI1;3;3
YBL086C;;32;32
YBL090W;MRP21;66;66
YBL091C;MAP2;36;36
YBL091C-A;SCS22;15;15
YBL093C;ROX3;123;123
YBL095W;;46;46
YBL097W;BRN1;3;3
YBL098W;BNA4;175;175
YBL099W;ATP1;49;49
YBL101C;ECM21;68;68
YBL103C;RTG3;36;36
YBL107C;;8;8
YBL108W;;8;8
YBR001C;NTH2;29;29
YBR003W;COQ1;64;64
YBR006W;UGA2;31;31
YBR007C;DSF2;20;20
YBR009C;HHF1;62;62
YBR010W;HHT1;-814;300
YBR011C;IPP1;883;883
YBR015C;MNN2;15;15
YBR016W;;98;98
YBR017C;KAP104;41;41
