mRNA half lifes [min],,,,,
orf,median,sd,mean,cv,95%-confidence
YAL001C,8.03604235997898,1.5042042349177,8.21380618138087,0.183131206373903,5.44 - 11
YAL002W,5.46530325069513,0.998099327603179,5.63085726049264,0.177255306151351,3.76 - 7.75
YAL003W,36.0465791729093,5.99532255334283,36.3684035031653,0.164849759017358,25.5 - 47.6
YAL005C,29.3974688131758,13.1295303427647,30.5558066139229,0.429690189778272,14.9 - 63.2
YAL007C,36.196226609237,10.6935854388217,36.3957740337889,0.293813930949621,17.9 - 58.9
YAL008W,16.4099560522014,4.50465212148602,17.2294020051368,0.261451449106765,10.7 - 26.7
YAL009W,9.34979330643087,1.37136709117533,9.47651539586429,0.144712168332868,7.11 - 12.2
YAL010C,4.28967098635376,1.22087287958973,4.4189451525881,0.276281519102967,2.31 - 6.91
YAL011W,4.61666565000191,1.19362615939151,4.7511508804893,0.2512288473711,3.05 - 8.21
YAL012W,28.0024955748414,4.01275475700815,27.6739511724619,0.145001150432079,22 - 36.1
YAL013W,5.09793725291469,0.934852326084916,5.1116754357628,0.182885697230386,3.51 - 7.07
YAL014C,7.51224115958834,1.02068817920582,7.57570326861766,0.134731805485837,5.95 - 9.42
YAL015C,10.0572050559865,2.08274349298782,10.3858674316049,0.200536306351252,7.54 - 14.5
YAL016C-B,5.855406692679,5.54714051547232,7.70872510737858,0.719592466744307,1.46 - 24.3
YAL016W,13.8544381378099,2.22889454348751,13.7567547507169,0.162021827376937,10.3 - 18.9
YAL017W,5.60472093109136,1.41629470144162,5.71848260857525,0.247669670153022,2.96 - 8.15
YAL018C,32.8759208238243,11.9441554924907,34.2442154367109,0.348793375469954,16.1 - 66.5
YAL019W,11.0736433296572,2.2321278972491,11.3030718474284,0.197479758368247,8 - 15.8
YAL020C,10.8051389239012,2.68277946291388,11.1848828937899,0.239857626440007,5.95 - 16.8
YAL021C,4.91216569195942,1.43418983841883,5.16943071784711,0.277436707579307,3.17 - 7.99
YAL022C,10.1893587796687,2.24557809462476,10.4263026648432,0.215376262018242,7.04 - 16
YAL023C,17.4327122850443,4.20263627269411,18.0849758368532,0.232382741929357,10.7 - 28.2
YAL024C,4.25586770841891,0.883124227560043,4.24803761928512,0.207889926292287,2.32 - 5.87
YAL025C,5.94718244092225,1.8709846801565,6.05597056857341,0.308948773606283,2.49 - 10.7
YAL026C,16.9643126584091,2.91946080100586,16.7130179438702,0.174681844464639,11.8 - 22.1
YAL027W,3.950451924694,0.949904144678721,4.00617527927086,0.237109981081908,2.19 - 5.93
YAL028W,5.19744832563484,1.99649488197285,5.57185076216816,0.358318082660915,2.72 - 10.1
YAL029C,9.55320132775123,1.57753888354149,9.69170519920156,0.162772066537007,7.29 - 13.2
YAL030W,35.6262681791718,8.61257988329025,36.6591334351432,0.234936810454821,22 - 58.2
YAL031C,3.70524871314907,1.00880351053023,3.75691933426202,0.268518810433386,2.16 - 5.44
YAL032C,3.71351054356506,0.83585711367967,3.83905721687851,0.21772457831699,2.44 - 5.65
YAL033W,11.1763226007485,1.65879791062328,11.0123665383611,0.150630466652643,7.41 - 13.9
YAL034C,5.19878793510081,0.927746531698329,5.23501699459981,0.177219392535945,3.64 - 7.09
YAL034W-A,3.64516144122874,0.846573969204536,3.62018769088432,0.233848087859152,2 - 5.26
YAL035W,26.1855849670466,3.5957662678634,26.3508503990388,0.13645731403016,19.7 - 32.6
YAL036C,14.5038703363155,1.64170011574139,14.371776388247,0.114230841852226,11.1 - 17.7
YAL037C-A,7.67135830823761,4.13398595001312,8.63675887593935,0.478650152145587,3.26 - 17.6
YAL037W,2.95463584798146,1.13258296518727,3.13544473401305,0.361219240416233,1.52 - 5.57
YAL038W,39.033287502579,7.59259630790506,39.9697267080741,0.189958674557845,29.3 - 56.6
YAL039C,8.35137725317716,1.66348425952767,8.54392300908476,0.19469794586853,5.74 - 12.2
YAL040C,3.12226102232763,1.10440944758296,3.24645893598699,0.340188947206626,1.47 - 5.53
YAL041W,4.73941595130847,0.783261859446636,4.76256531694478,0.164462176856632,3.48 - 6.33
YAL042W,34.8972883696319,6.45243278651432,34.9855431929656,0.184431402163042,24.1 - 47.7
YAL043C,5.35664972877675,1.51032750071114,5.2665376938881,0.286778067204171,2.63 - 8.16
YAL044C,68.9365235388519,28.0827232803454,75.0852985068541,0.374010942738436,40.6 - 138
YAL044W-A,34.8785886917959,9.05723153154864,36.0808286318079,0.25102615086739,23.7 - 53.8
YAL046C,20.0131561960065,4.20192008048206,20.4713724259993,0.205258347757158,13.1 - 27.9
YAL047C,5.07449965876563,1.52348458650847,5.17385570285253,0.29445826749063,2.33 - 8.29
YAL048C,3.50105455501808,1.55684739581407,3.51327645977964,0.443132618123573,0.978 - 7.14
YAL049C,17.4139132523143,3.49746660171105,17.7175959417956,0.197400742922496,12.1 - 26.5
YAL051W,2.69926247257154,0.814668300368689,2.66573743298369,0.305607105294257,1.03 - 4.27
YAL053W,8.60291292066141,1.90992224463534,9.02347724899024,0.211661446240037,6.43 - 13.1
YAL054C,14.5462062708629,2.10804925225178,14.6350398433417,0.144041237660917,11.2 - 19.4
YAL055W,6.54750941169915,2.00219259358945,6.91383694404401,0.289592104904102,4.6 - 10.4
YAL056W,4.18252825584744,1.06619555553662,4.10163828936397,0.259943827397308,2.18 - 6.19
YAL058W,12.6084775192815,2.11848514413714,13.0044848314645,0.162904195867217,9.25 - 17.4
YAL059W,8.67779733281065,1.35999026044604,8.52638080421415,0.159503814299951,6.18 - 10.7
YAL060W,16.5272603795939,4.54241355979738,16.8102598316818,0.270216736997511,8.64 - 25.7
YAL061W,15.6966886612367,5.1586131478329,16.7070794055268,0.308768098996789,8.94 - 29.1
YAL062W,29.4816865163368,7.79917402500142,30.8647246307864,0.252688922979148,19.6 - 50.9
YAL063C,4.53720936919175,1.31483509129412,4.57577156168011,0.287347188025126,2.1 - 7.02
YAL063C-A,2.39272176475574,1.44190119100392,2.78565431201886,0.517616699524691,0.911 - 6.73
YAL064C-A,23.8566777871117,8.43595324364027,25.500343153832,0.330817244017071,11.4 - 40.8
YAL064W,5.47875026698454,2.77369145161834,5.88201627949769,0.471554535013155,1.75 - 11.6
YAL064W-B,7.82724133086637,3.62816228537109,8.49294089832976,0.427197401795722,2.95 - 15.5
YAL065C,16.5831499059286,6.60336681959178,17.4086898858476,0.379314403489948,7.97 - 29.3
YAL067C,7.06204317978658,2.59156734319352,7.34119455458613,0.353017117844198,3.11 - 12.9
YAL067W-A,19.2940876484866,6.99265298423269,20.6979637378939,0.337842556532772,10.9 - 33.6
YAL068C,3.29569468902346,1.53151430145734,3.51385467644163,0.435850210802757,1.16 - 6.4
YAR002C-A,50.9921109072982,13.6252519942829,51.1273467713509,0.266496363584386,25.3 - 75.6
YAR002W,6.28879687489936,0.703823070446244,6.39300872633723,0.110092618448448,5.48 - 8.19
YAR003W,6.16771184154717,1.12839580818685,6.18802578737393,0.182351503849456,4.12 - 8.13
YAR007C,6.15094899281473,2.47503079180118,6.39501017926677,0.387025309173935,2.24 - 12.2
YAR008W,7.45770066372655,1.57290540424452,7.7551403494967,0.20282101075664,5.29 - 11
YAR009C,37.9051376325596,187.139978623552,76.7083372300673,2.43963023292075,6.06 - 311
YAR010C,16.2210991659693,15.6901177893148,20.1740590824914,0.777737277617663,7.45 - 46.1
YAR014C,8.11202470755847,1.94970089240384,8.12711502184601,0.239900738104845,4.88 - 12.6
YAR015W,24.1835825793325,8.54054826423644,25.5848538544809,0.333812665603351,18.7 - 43
YAR018C,7.1695644913081,2.18370253386532,7.46769181343558,0.292420012558163,4.12 - 12.1
YAR019C,5.03620155114383,1.05773226590567,5.06970865034909,0.208637682923423,3.16 - 7.1
YAR020C,2.31092631850016,1.08575566130615,2.33745562500469,0.464503218667081,1.07 - 5.02
YAR023C,7.44765598948837,3.16679405732056,7.84986366957446,0.403420261882362,3.55 - 15.5
YAR027W,11.2186976819958,2.53922408092748,11.570793625226,0.219451159805633,7.12 - 17
YAR028W,8.17809746284294,1.76331601109803,8.41550701715892,0.209531761723054,5.53 - 12.7
YAR029W,1.87416712482421,0.647821781807522,1.93019455829183,0.335625120806902,1.19 - 3.37
YAR031W,37.0478123003077,11.5354859862789,38.5074244487911,0.299565243622546,20.9 - 65.4
YAR033W,8.68324787512168,2.25441542796043,8.83632328174376,0.255130483129579,5.38 - 13.9
YAR035C-A,6.15608916917801,3.22286715976421,6.68725921737456,0.481941413515225,1.74 - 13.2
YAR035W,24.576459540811,9.74843057733038,26.9612011097454,0.361572562648431,12.1 - 49.6
YAR042W,5.13711151881367,1.26087288830479,5.17124611609703,0.243823801845353,2.66 - 7.57
YAR050W,5.59676258244676,2.46705538113852,5.90519963025936,0.417776795977711,2 - 11
YAR064W,12.8367815267707,5.5776303637457,13.5611411296836,0.411295060674281,6.24 - 23.7
YAR066W,5.02525018398396,3.69227613385759,6.00663767677391,0.614699326402631,1.71 - 16.3
YAR068W,3.33858676843164,1.36842694229518,3.56367679448309,0.383992999705709,1.38 - 5.97
YAR071W,18.189087652067,4.92819377933474,18.1147371261034,0.2720543911307,10 - 29
YAR073W,21.5280698354287,8.43624723600769,23.7512923098193,0.35519108290878,12.8 - 48.9
YAR075W,22.1866175695225,4.64450064341728,22.1264441712339,0.209907231703117,15.1 - 32.1
YBL001C,102.956858707664,989.318072788838,247.996036440304,3.98924953394157,52.8 - 555
YBL002W,18.5625227273563,5.03542473628076,18.2498977434026,0.275915230160733,9.33 - 26
YBL003C,17.9498805906617,4.88588070350186,18.0968316556062,0.269985420458297,8.41 - 27.8
YBL004W,11.2428310825061,1.86492687909339,11.3204970284951,0.164738957520958,8.2 - 14.9
YBL005W,8.3198333780687,1.73353904443189,8.27622818820812,0.209460034814146,4.97 - 11.6
YBL005W-A,5.69412643142351,5.87300622666889,6.82739579598782,0.860211770660816,1.73 - 21.1
YBL006C,7.42303316876444,1.27451056521418,7.36867185216474,0.172963403824226,5.09 - 9.53
YBL007C,19.5103692199516,4.05650005556073,19.8696399131781,0.204155690454679,13 - 27
YBL008W,6.29309944108027,2.42797615729455,6.77434977198804,0.35840726254411,3.37 - 11.3
YBL008W-A,20.0879032887188,7.37680237387125,20.7218227735838,0.355991963374728,9.75 - 42.6
YBL009W,5.6169261374607,1.24879180856687,5.57139382290843,0.224143517450174,3.06 - 8.04
YBL010C,2.36327724381462,0.668920909177162,2.33775383462954,0.286138300478145,1.04 - 3.75
YBL011W,10.238639390889,2.72283155670545,10.3856419707659,0.26217267689083,5.78 - 15.3
YBL013W,7.11664443432166,5.39875147053729,8.38933702467759,0.643525400714816,1.89 - 19.3
YBL014C,1.86216505920647,0.694196075399631,1.93442077048685,0.358865085606435,0.841 - 3.29
YBL015W,11.5102247180851,2.42629977769584,11.9108285158998,0.203705374018018,7.81 - 17.3
YBL016W,4.5076517932437,1.46985871534152,5.08494546622896,0.289060861144608,3.6 - 8.73
YBL017C,8.91837562821854,3.0012072387822,9.35124322622101,0.320942057240772,5.53 - 16.3
YBL018C,12.0006226534832,2.09933103152335,11.5837028268184,0.181231430304222,7.75 - 15.1
YBL019W,5.32005382721515,1.16753782458409,5.31068790346531,0.219846815668127,3.2 - 7.57
YBL020W,9.23288455192913,2.17131429633195,9.6896878213619,0.224085062012532,6.81 - 14.2
YBL021C,3.29986038482472,1.01325430770868,3.23162275525471,0.313543499488331,1.47 - 5.17
YBL022C,12.3139315022428,2.40285565562791,12.4874424482796,0.192421760146646,9.04 - 17.3
YBL023C,7.94979444784434,2.17719350430846,8.40678824148412,0.258980414608862,5.49 - 14
YBL024W,16.0558409659663,2.16713084536463,16.3697156290883,0.13238659085279,13.5 - 21
YBL025W,3.17557136579977,1.17435882517129,3.17466657736367,0.369915642022006,1.29 - 5.43
YBL026W,11.1702206512646,2.50156698922649,11.4039706392556,0.219359297595472,7.33 - 16.8
YBL027W,46.7740762787542,12.4278838965367,48.9173389240651,0.254058870942031,29.7 - 78.3
YBL028C,6.04352471575217,1.67551972049055,6.28070643863312,0.266772493964102,3.89 - 9.6
YBL029C-A,6.39266350462144,1.68195855910626,6.61304345363377,0.254339559523392,3.8 - 10.5
YBL029W,6.07199405093281,2.0702652134498,6.38774694276969,0.324099441007621,3.91 - 13.8
YBL030C,24.6438042966393,4.73600731060913,24.7734609193194,0.191172615163987,17 - 33.5
YBL031W,4.29065179703739,0.845377222208609,4.41226521929522,0.191597100399065,2.96 - 5.91
YBL032W,27.7849616076415,6.5555105937774,27.0021672422977,0.242777201361397,13 - 38.4
YBL033C,4.18542525956677,0.597850627928344,4.32612771621778,0.138195325507179,3.25 - 5.51
