#,ORF,Gene,chan7,chan8,chan9,chan10,chan11,chan12,Avg,Stdev,inter-channel CV,inter-prep CV,MA,Nagal.,Type
1,YAL002W,VPS8,"41,7","42,9","39,8","40,6","42,3","41,7","41,5","1,13","3,8%","6,3%",474,, Verified ORF
2,YAL004W,YAL004W,"0,2","0,1","0,3","0,4","0,2","0,2","0,23","0,1","50,0%","100,0%",,, Dubious ORF
3,YAL005C,SSA1,"929,1","932,7","944,8","879,8","866,3","900,9","908,93","31,59","0,9%","3,1%",7.052,1160, Verified ORF
4,YAL007C,ERP2,150,"139,7","146,2","152,1","150,4","145,7","147,35","4,5","3,6%","1,7%",1.304,67, Verified ORF
5,YAL008W,FUN14,82,"83,1","86,6","82,4",79,"85,3","83,07","2,67","2,9%","3,0%",323,32, Verified ORF
6,YAL009W,SPO7,"31,5","32,8","30,9","31,9","30,5","30,6","31,37","0,88","3,1%","1,9%",217,"19,5", Verified ORF
7,YAL010C,MDM10,"22,7","23,8","22,4","21,4",21,"20,9","22,03","1,14","3,2%","4,7%",324,9, Verified ORF
8,YAL011W,SWC3,"38,5","38,5",38,"42,5","40,9",44,"40,4","2,47","0,8%","5,2%",421,"12,5", Verified ORF
9,YAL012W,CYS3,"542,4","537,6","544,9","539,2","522,4","536,7","537,2","7,87","0,7%","0,7%",4.727,237, Verified ORF
10,YAL013W,DEP1,"48,7","50,4","49,3","47,5","47,5","50,1","48,92","1,25","1,7%","1,3%",1.595,"41,5", Verified ORF
11,YAL014C,SYN8,"65,8","71,3","73,3","73,2",71,"75,6","71,7","3,33","5,5%","6,6%",810,"86,5", Verified ORF
12,YAL015C,NTG1,"74,2","69,8","69,2","71,7","75,5","69,4","71,63","2,68","3,8%","2,8%",324,24, Verified ORF
13,YAL016C-A,YAL016C-A,"1,5","0,9","0,6","1,4","1,6","1,2","1,2","0,38","45,8%","20,4%",,1, Dubious ORF
14,YAL016C-B,YAL016C-B,"0,2","0,3","0,1","0,3","0,6","0,5","0,33","0,19","50,0%","24,7%",14,, Dubious ORF
