ORF	rpf	mRNA	reliable
YAL001C	8.8043	32.7625	1
YAL002W	3.933	10.1	1
YAL003W	4714.6504	1682.7575	1
YAL007C	140.8416	281.9228	1
YAL008W	37.5198	56.1701	1
YAL009W	7.119	105.2586	1
YAL010C	9.0311	36.8427	1
YAL011W	6.6901	15.8727	1
YAL012W	597.1954	87.5667	1
YAL013W	15.6474	28.0224	1
YAL014C	20.3509	47.3373	1
YAL015C	7.5476	54.8168	1
YAL016W	108.707	157.2825	1
YAL017W	8.859	16.5706	1
YAL018C	0	0.8174	0
YAL019W	24.6356	29.3514	1
YAL020C	7.5985	45.8793	1
YAL021C	45.7283	23.8799	1
YAL022C	24.382	99.6217	1
YAL023C	118.1826	71.5261	1
YAL024C	3.4444	9.2934	1
YAL025C	130.0117	240.6314	1
YAL026C	14.9954	27.2115	1
YAL027W	13.8679	92.0036	1
YAL028W	2.4654	6.4279	0
YAL029C	13.3476	29.5559	1
YAL030W	85.0445	39.2226	1
YAL031C	7.1286	23.4017	1
YAL032C	18.416	36.6524	1
YAL033W	64.9253	206.3882	1
YAL034C	2.6519	5.7957	0
YAL034WA	12.2956	34.221	1
YAL035W	372.6568	143.4037	1
YAL036C	139.8067	209.9985	1
YAL037CA	0	4.2163	0
YAL037W	1.0233	28.3265	0
YAL038W	8768.0856	1930.8714	1
YAL039C	20.314	49.8216	1
YAL040C	6.3806	16.5268	1
YAL041W	19.197	46.4989	1
YAL042W	96.1656	375.8724	1
YAL043C	20.7934	28.4286	1
YAL044C	419.5806	989.6987	1
YAL044WA	65.2413	79.5114	1
YAL046C	74.0895	85.911	1
YAL047C	11.0202	20.4448	1
YAL048C	5.4887	15.2896	1
YAL049C	72.4291	121.835	1
YAL051W	9.5688	16.2332	1
YAL053W	29.7806	50.1959	1
YAL054C	0.6732	3.7364	0
YAL055W	18.1596	29.7653	1
YAL056W	5.067	63.4513	1
YAL058W	10.3708	42.944	1
YAL059W	84.9195	246.8263	1
YAL060W	48.5462	124.2354	1
YAL061W	6.4023	15.6264	1
YAL067C	0.809	3.7046	0
YAR002CA	199.9578	396.9157	1
YAR002W	55.0425	76.8001	1
YAR003W	12.8566	87.7268	1
YAR007C	80.5763	72.7973	1
YAR008W	9.9367	98.93	1
YAR014C	25.4097	67.5427	1
YAR015W	331.2842	561.3286	1
YAR018C	14.6377	22.932	1
YAR019C	1.8315	7.5265	1
YAR023C	1.5217	29.9301	0
YAR027W	50.5303	181.374	1
YAR028W	22.1644	98.5785	1
YAR029W	0.9083	63.5227	0
YAR035W	0.499	1.6479	0
YAR042W	11.2655	13.692	1
YBL001C	251.0668	403.0731	1
YBL002W	1628.2557	1190.5677	1
YBL004W	28.4044	28.2052	1
YBL005W	5.413	15.2953	1
YBL006C	57.127	309.0451	1
YBL007C	104.0039	31.8872	1
YBL008W	9.8806	29.6642	1
YBL008WA	2.556	4.9654	0
YBL009W	21.5011	16.8454	1
YBL010C	16.5926	59.4894	1
YBL011W	17.5286	35.7192	1
