Synthesis rate [synthesized mRNA molecules per min],,,,,
orf,median,sd,mean,cv,95%-confidence
YAL001C,0.212243619378863,0.0417684507603861,0.222449835827164,0.187765707288896,0.157 - 0.317
YAL002W,0.228651274152198,0.0379526199620385,0.233574552652272,0.162486107887529,0.186 - 0.315
YAL003W,3.36377319273686,0.356911530377411,3.38166937362244,0.105542999904538,2.66 - 4.04
YAL005C,1.2469643636195,0.337535758799936,1.19170923222198,0.283236673572286,0.538 - 1.91
YAL007C,0.795940927383374,0.171701486310232,0.837975939991675,0.20490025800972,0.619 - 1.18
YAL008W,0.0994606406091633,0.020925966667021,0.102770807675777,0.203617808794873,0.0706 - 0.151
YAL009W,0.247481216883735,0.0319019654994378,0.248871572008186,0.128186458750654,0.202 - 0.312
YAL010C,0.249262678460669,0.0585907679679378,0.252768192149121,0.231796443491482,0.16 - 0.393
YAL011W,0.34521884977813,0.0671173978020651,0.348334261625649,0.192681011304583,0.231 - 0.484
YAL012W,2.21830832482624,0.232529519334721,2.22464495990895,0.104524327937811,1.83 - 2.68
YAL013W,0.696533247050333,0.101780174125505,0.700747922615644,0.14524506008608,0.518 - 0.93
YAL014C,0.856271296392365,0.0880690513847075,0.869273334626094,0.101313416478591,0.724 - 1.07
YAL015C,0.199104036843793,0.0609234623772835,0.213934920926061,0.284775679040915,0.132 - 0.347
YAL016C-B,0.023016559645499,0.0211991554335984,0.0287906082173358,0.736321903086216,0.00595 - 0.0878
YAL016W,0.975140078372302,0.0945030132154835,0.981637221526933,0.0962708128248076,0.793 - 1.15
YAL017W,0.289117610814385,0.0818319919986592,0.298059066458856,0.274549581634536,0.169 - 0.499
YAL018C,0.00314139563693432,0.000672143571799654,0.00321170560872895,0.209279321857167,0.00225 - 0.00471
YAL019W,0.320798996226521,0.0759795622003911,0.322138831309355,0.23585968165206,0.187 - 0.476
YAL020C,0.354963336471272,0.0728429912801991,0.362631542801393,0.200873290606422,0.244 - 0.529
YAL021C,0.328891680796659,0.073098137713688,0.342886795527548,0.213184463989706,0.247 - 0.523
YAL022C,0.400035239362432,0.0992461717035395,0.411551931132812,0.241151029058133,0.257 - 0.641
YAL023C,0.757141931042713,0.142459125120706,0.781933919590781,0.182188189502331,0.561 - 1.17
YAL024C,0.37664461079304,0.138155954728549,0.417183425083353,0.331163575592549,0.268 - 0.758
YAL025C,0.449011550693943,0.122057004103313,0.474256890957967,0.257364745627135,0.307 - 0.806
YAL026C,0.215871574594079,0.0420717346447662,0.225952553014668,0.186197208588455,0.161 - 0.317
YAL027W,0.242691286115713,0.0524873807052128,0.251732224767036,0.208504814009358,0.176 - 0.361
YAL028W,0.112055629784561,0.0480276801530747,0.119386717895118,0.402286627858112,0.0599 - 0.24
YAL029C,0.756877373517921,0.0871207356662673,0.744838531492333,0.116965935545406,0.586 - 0.89
YAL030W,0.233042708435483,0.0494491621264856,0.241456628743879,0.204795214708883,0.169 - 0.345
YAL031C,0.336623639224236,0.0683908437348823,0.343772040674731,0.198942425918785,0.224 - 0.477
YAL032C,0.277448942896071,0.0552625020888991,0.283668068670079,0.194813968128264,0.202 - 0.421
YAL033W,0.580924801808485,0.0916626942406624,0.587500532688651,0.156021465752848,0.433 - 0.761
YAL034C,0.366717445708401,0.0606278885961073,0.365585424461017,0.165837816662114,0.258 - 0.476
YAL034W-A,0.265770190435582,0.103112402151556,0.279855098022976,0.368449254203296,0.14 - 0.501
YAL035W,1.42564578483177,0.135545410817807,1.46278049605475,0.0926628507717906,1.23 - 1.75
YAL036C,1.24996395985246,0.108256328025457,1.24656767313682,0.0868435227050647,1.02 - 1.48
YAL037C-A,0.00941714614985604,0.00563863149772705,0.0106142920767877,0.531230105308496,0.0059 - 0.0221
YAL037W,0.145618466999652,0.0630903533086248,0.153191773067524,0.411839043607228,0.0691 - 0.329
YAL038W,3.78851804612118,0.56864626524735,3.87573325701011,0.146719659878251,2.98 - 5.18
YAL039C,0.263689809232213,0.0627458087293783,0.274142507234981,0.228880261445905,0.197 - 0.406
YAL040C,1.34365526927475,0.473326984249814,1.42717116742116,0.331653970494021,0.828 - 2.53
YAL041W,0.533532180646584,0.0567050088817219,0.529229791093935,0.107146290394029,0.435 - 0.625
YAL042W,0.587390677673452,0.0603305833155861,0.599035631804294,0.100712845968562,0.501 - 0.725
YAL043C,0.469219239201157,0.132279297679234,0.487635803027155,0.27126658226912,0.305 - 0.735
YAL044C,0.798645023818176,0.220658107134296,0.803158332008851,0.274737991676421,0.466 - 1.24
YAL044W-A,0.319707518161242,0.0710469736982593,0.323375673023427,0.219704138638507,0.213 - 0.466
YAL046C,0.30052722900565,0.0743418801609805,0.306687964527118,0.242402339705793,0.196 - 0.441
YAL047C,0.143617456075674,0.0434836129630353,0.150227117161663,0.289452488902129,0.0932 - 0.248
YAL048C,0.054724641349298,0.0361845827209449,0.0602255032618406,0.600818270685532,0.0269 - 0.178
YAL049C,0.358535101341827,0.0439368578072319,0.368218841071755,0.11932267691503,0.311 - 0.451
YAL051W,0.523007974327821,0.158556562542338,0.547777669623666,0.289454228120086,0.353 - 1.05
YAL053W,0.421679158583459,0.1200108452526,0.448422075931651,0.267629208493501,0.315 - 0.805
YAL054C,0.0938595556071225,0.021751492201002,0.0974860336406636,0.223124189062596,0.0649 - 0.139
YAL055W,0.294099905260166,0.0576393305720686,0.296049403751683,0.194694972668868,0.201 - 0.399
YAL056W,0.312354502454014,0.0648766826875422,0.322958514764167,0.200882403533831,0.237 - 0.487
YAL058W,0.215054114191716,0.028656176395868,0.218265081510751,0.131290704850819,0.165 - 0.281
YAL059W,1.04231201201935,0.143878588892484,1.05118907704782,0.136872225971522,0.771 - 1.35
YAL060W,0.333931903152204,0.0973668828220272,0.351415379120133,0.277070636651738,0.22 - 0.568
YAL061W,0.0237888638711178,0.0312673414608723,0.0323916309205896,0.965290742461421,0.0147 - 0.135
YAL062W,0.0420834128242915,0.00878169109740534,0.0426591225612768,0.205857283744903,0.0282 - 0.0669
YAL063C,0.227895361425796,0.0859004971502932,0.244394928052886,0.351482323445374,0.152 - 0.412
YAL063C-A,0.113017102906787,0.0676858557803101,0.120706374698606,0.56074797995811,0.0361 - 0.32
YAL064C-A,0.00333352943874685,0.000890150417775569,0.00342522513532437,0.259880849464592,0.00217 - 0.00614
YAL064W,0.0150935901262486,0.00716343893676819,0.0167014932149537,0.428910088731133,0.00789 - 0.036
YAL064W-B,0.0109113482365633,0.00578544462632485,0.0116662221873132,0.495914147136373,0.00559 - 0.0282
YAL065C,0.00461776467545496,0.00141017653742958,0.00497348257751008,0.283539052455186,0.00294 - 0.00803
YAL067C,0.0193031591860131,0.0115122400880623,0.0223513239965557,0.515058530306137,0.0109 - 0.0523
YAL067W-A,0.00408181147617105,0.00135723816756509,0.00431645116526319,0.314433805828158,0.0028 - 0.00691
YAL068C,0.172627298215419,0.115898657764456,0.198320153495617,0.584401815557378,0.0811 - 0.572
YAR002C-A,0.597357411993884,0.118129366901126,0.618466664290095,0.191003612194232,0.444 - 0.84
YAR002W,0.92796827261672,0.0690989154925407,0.920205660747443,0.0750907307355778,0.757 - 1.04
YAR003W,0.338205177625163,0.0733918614002245,0.345214310389441,0.212597969410451,0.223 - 0.502
YAR007C,0.502088521634865,0.360698608296132,0.542369441853425,0.66504227646662,0.144 - 1.01
YAR008W,0.591078272834404,0.268266522395897,0.583077814426597,0.460086999982519,0.204 - 1.15
YAR009C,0.238442132170812,0.170362250403466,0.280368953642053,0.607635931833479,0.0615 - 0.691
YAR010C,1.8727199653922,0.474181333036998,1.92825083501973,0.245912681288763,1.04 - 2.99
YAR014C,0.706841679135987,0.0809451113587858,0.702478995508767,0.115227803074968,0.536 - 0.831
YAR015W,1.01273695507369,0.259624896680376,1.01434617536318,0.255952950763993,0.468 - 1.51
YAR018C,0.431442534445844,0.290631117862996,0.462189211462851,0.628814153716689,0.0527 - 1.13
YAR019C,0.300320387075901,0.0593944564831106,0.302063957449833,0.196628743742043,0.219 - 0.426
YAR020C,0.189232169014905,0.0873666254305988,0.202995347706202,0.430387328664526,0.0839 - 0.37
YAR023C,0.06021017593707,0.024532506347672,0.067762843309424,0.362034784102103,0.044 - 0.118
YAR027W,0.42118014967107,0.0930004459048527,0.436493482595201,0.213062622039423,0.298 - 0.664
YAR028W,0.342541025099678,0.0653412660493298,0.333444152064075,0.195958650481217,0.167 - 0.431
YAR029W,0.101649132533307,0.0369414891624629,0.107831434638997,0.342585529777447,0.0426 - 0.16
YAR031W,0.0524230200865236,0.0079470510159943,0.0515107573186123,0.154279444327308,0.034 - 0.0655
YAR033W,0.115723932390941,0.0219511596234724,0.119185244322531,0.184176822795862,0.0727 - 0.163
YAR035C-A,0.0274601528642788,0.0218191412573976,0.0341937365525876,0.638103449847936,0.0133 - 0.0802
YAR035W,0.0410190602649863,0.0221228391878009,0.0476070558715717,0.464696645965278,0.0255 - 0.11
YAR042W,0.392118068073571,0.0941826837747152,0.412872908966084,0.228115436322929,0.289 - 0.62
YAR050W,0.0221479752560434,0.0201759643690675,0.0251345177119283,0.802719375812508,0.0105 - 0.0541
YAR064W,0.00709077562262584,0.00248851799657541,0.00751243589945173,0.331253142107612,0.00442 - 0.0119
YAR066W,0.207134369740634,0.138946983621869,0.227625633730137,0.61041887657784,0.0484 - 0.579
YAR068W,0.622265279897876,0.362164925738492,0.671890500104478,0.539023733305018,0.191 - 1.46
YAR071W,0.624074226754673,0.157955176813626,0.595113978933443,0.265420041210781,0.323 - 0.893
YAR073W,0.0609678672430233,0.0168810055375903,0.0611342846576333,0.276129926638188,0.0335 - 0.102
YAR075W,0.0701757872683545,0.00910386228864122,0.0720576844138659,0.12634131061377,0.0581 - 0.0936
YBL001C,0.317008718720302,0.13202235076826,0.348036431015088,0.379334859811088,0.222 - 0.788
YBL002W,1.96147347730602,0.624440240769971,1.93355196202244,0.322949811039381,0.742 - 3.06
YBL003C,2.48068043678155,0.798597215640432,2.44447625799803,0.326694609132536,0.731 - 3.75
YBL004W,0.870287960762908,0.140165951643822,0.888690596249775,0.157721880073126,0.703 - 1.22
YBL005W,0.113338279739102,0.0268537463393065,0.118106020301182,0.227369834923121,0.0773 - 0.184
YBL005W-A,0.136572586699472,0.0629898113282739,0.151070807755255,0.416955547297541,0.0626 - 0.304
YBL006C,0.91548979494073,0.173131902239571,0.944002738946468,0.183401906685981,0.714 - 1.34
YBL007C,0.290726685817708,0.053191491443697,0.300464590390187,0.177030815426942,0.229 - 0.436
YBL008W,0.250436297086105,0.0827059126051621,0.267098191323901,0.309646097546454,0.147 - 0.469
YBL008W-A,0.00453112320420114,0.00127271329057378,0.00461543850747493,0.275751326447652,0.00293 - 0.00817
YBL009W,0.502534975727888,0.149783886855213,0.524942886367931,0.285333682472705,0.321 - 0.872
YBL010C,0.579114473747657,0.198504816093803,0.605637065246049,0.327762000519499,0.343 - 1.09
YBL011W,0.337622089115452,0.0627139384678417,0.349970342489845,0.179197865801047,0.26 - 0.473
YBL013W,0.0125102641754677,0.0102564762102984,0.0155531490270161,0.659446919236916,0.00524 - 0.0399
