,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300
YAL001C,,0.05,0.0166666666667,0.0216666666667,0.035,0.0208333333333,0.0175,0.0233333333333,0.04,0.0533333333333,,0.035
YAL002W,0.035,,0.01,0.02,0.0116666666667,0.00666666666667,0.0108333333333,0.0133333333333,0.02,0.0183333333333,,0.0316666666667
YAL003W,0.252843137255,0.257564102564,0.147430555556,0.151209150327,0.152549019608,0.104816666667,0.1064,0.109407051282,0.202777777778,0.204680851064,0.239202898551,0.190724637681
YAL005C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL007C,0.121666666667,0.116666666667,0.0602777777778,0.0666666666667,0.065,0.0445833333333,0.0414583333333,0.04125,0.0991666666667,0.0933333333333,0.136666666667,0.0838888888889
YAL008W,0.153333333333,0.165,0.0829166666667,0.0855555555556,0.0908333333333,0.0625,0.0566666666667,0.0666666666667,0.11,0.131666666667,0.158333333333,
YAL009W,0.0616666666667,,0.0291666666667,0.025,0.0266666666667,0.0227777777778,0.0163333333333,0.0208333333333,0.0444444444444,0.0483333333333,0.0566666666667,0.0366666666667
YAL010C,,,,0.045,,,0.02,0.0183333333333,,,,
YAL011W,,,0.0266666666667,0.0333333333333,0.0366666666667,0.0283333333333,0.0225,0.0191666666667,,0.0733333333333,,0.0483333333333
YAL012W,0.21246031746,0.216578947368,0.118794871795,0.120081967213,0.124272727273,0.0841975308642,0.0851449275362,0.0866296296296,0.168383838384,0.169268292683,0.206296296296,0.15992248062
YAL013W,0.101666666667,0.111666666667,0.0616666666667,0.0644444444444,0.0629166666667,0.045,0.04125,0.046,0.0858333333333,0.0933333333333,0.12,0.0808333333333
YAL014C,0.0533333333333,0.0416666666667,0.0205555555556,0.0188888888889,0.0183333333333,0.0133333333333,0.0133333333333,0.012,0.0327777777778,0.0258333333333,0.0583333333333,0.0333333333333
YAL015C,0.0683333333333,0.075,0.0283333333333,0.0244444444444,0.0325,0.02,0.019,0.016,0.045,0.0566666666667,,0.0416666666667
YAL016W,0.115833333333,0.123333333333,0.0561111111111,0.0511111111111,0.0633333333333,0.0370833333333,0.0419047619048,0.0363888888889,0.0908333333333,0.0833333333333,0.116666666667,0.0811111111111
YAL017W,,0.0616666666667,0.025,0.0225,0.0238888888889,0.012380952381,0.015,0.0133333333333,0.0516666666667,0.035,0.0566666666667,0.0266666666667
YAL019W,0.075,0.0666666666667,0.0275,0.025,0.035,0.0216666666667,0.0116666666667,0.0208333333333,0.0533333333333,0.0433333333333,0.0666666666667,0.0566666666667
YAL020C,0.0483333333333,0.0633333333333,0.021,0.0246666666667,0.0194444444444,0.0136666666667,0.0197222222222,0.017380952381,0.0433333333333,0.0366666666667,0.0566666666667,0.0333333333333
YAL021C,,0.0733333333333,0.025,0.0333333333333,0.035,0.0233333333333,0.0211111111111,0.0308333333333,,,,
YAL022C,0.065,0.0675,0.0277777777778,0.0316666666667,0.0338888888889,0.0181666666667,0.0197619047619,0.0208333333333,0.0491666666667,0.0464285714286,0.0633333333333,0.0452083333333
YAL023C,0.0875,0.0916666666667,0.039,0.040641025641,0.0439473684211,0.0271875,0.0298333333333,0.0291666666667,0.0608333333333,0.068,0.0905555555556,0.06
YAL024C,,,,0.0141666666667,0.0172222222222,0.0105555555556,0.0108333333333,0.005,,,0.04,
YAL025C,0.208333333333,0.211666666667,0.117916666667,0.113611111111,0.120277777778,0.083,0.0787878787879,0.0883333333333,0.168333333333,0.172083333333,0.196111111111,0.156
YAL026C,0.0433333333333,0.0416666666667,0.0205555555556,0.0208333333333,0.0183333333333,0.0141666666667,0.0144444444444,0.0154166666667,0.0333333333333,0.0416666666667,0.05,0.0383333333333
YAL026C-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL027W,0.0783333333333,,0.0483333333333,0.045,0.035,0.0204166666667,0.0233333333333,0.0283333333333,,,,
YAL028W,,,,,,0.00333333333333,0.0166666666667,0.00833333333333,0.035,,,
YAL029C,0.0333333333333,0.0366666666667,0.0120833333333,0.0141666666667,0.0183333333333,0.00708333333333,0.00895833333333,0.00916666666667,0.0258333333333,0.015,0.045,0.0283333333333
YAL030W,0.111666666667,0.0983333333333,0.04875,0.0558333333333,0.0495833333333,0.0323333333333,0.038125,0.0325,0.0783333333333,0.0766666666667,0.0966666666667,0.0733333333333
YAL031C,,,,,0.025,,0.01,0.0125,,,0.0516666666667,
YAL032C,,0.0816666666667,0.0383333333333,0.05,0.0383333333333,0.025,0.0241666666667,0.0283333333333,,0.0766666666667,,0.065
YAL033W,0.0883333333333,,0.03,0.0416666666667,0.0291666666667,0.0266666666667,0.0258333333333,0.0233333333333,0.0683333333333,0.0766666666667,0.0933333333333,0.0516666666667
YAL034C,,0.02,0.015,0.00916666666667,0.0075,0.00388888888889,0.00541666666667,0.007,0.0116666666667,0.02,0.0216666666667,0.0141666666667
YAL034C-B,,,0.0,,,0.0,,0.0,,,,
YAL034W-A,,,0.0,0.0,,0.0,0.0,0.0,,,,
YAL035W,0.15,0.146904761905,0.0740350877193,0.0771052631579,0.0777083333333,0.0515476190476,0.0521794871795,0.0511965811966,0.107948717949,0.110384615385,0.143888888889,0.103518518519
YAL036C,0.152777777778,0.1525,0.0759523809524,0.0716666666667,0.0785416666667,0.0491025641026,0.052380952381,0.0495833333333,0.116666666667,0.113095238095,0.142916666667,0.107380952381
YAL037C-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL037W,,,0.0,,,0.0,,,,,,0.0
YAL038W,0.238677248677,0.243422619048,0.140493482309,0.142956349206,0.146422338569,0.100422149123,0.100455026455,0.10416400426,0.194583333333,0.194137115839,0.232547619048,0.183061728395
YAL039C,0.161666666667,0.151666666667,0.0783333333333,0.0883333333333,0.09875,0.0645833333333,0.0553703703704,0.0596296296296,0.118333333333,0.125,0.148333333333,0.124444444444
YAL040C,0.0416666666667,0.0416666666667,0.00666666666667,0.0283333333333,0.0333333333333,0.0133333333333,0.015,0.0116666666667,0.025,0.0308333333333,0.0566666666667,0.0233333333333
YAL041W,0.045,0.045,0.0225,0.0272222222222,0.025,0.0133333333333,0.0188095238095,0.0194444444444,0.0433333333333,0.025,0.0583333333333,0.0425
YAL042W,0.065,0.0608333333333,0.0292592592593,0.0334782608696,0.0319298245614,0.0208130081301,0.019212962963,0.0192543859649,0.0507692307692,0.0463333333333,0.0658333333333,0.0490833333333
YAL043C,0.0633333333333,,0.0333333333333,0.0191666666667,0.0266666666667,0.0156666666667,0.0173333333333,0.0173333333333,0.0366666666667,0.0533333333333,0.0583333333333,0.0338888888889
YAL044C,0.15,0.159,0.0767857142857,0.0785087719298,0.080462962963,0.0553472222222,0.0500694444444,0.053950617284,0.116666666667,0.11,0.146,0.109166666667
YAL044W-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL045C,,,0.0,,,0.0,,0.0,0.0,,,
YAL046C,0.09,0.085,0.0516666666667,0.04875,0.044,0.031,0.0328571428571,0.0298333333333,0.0766666666667,0.0808333333333,0.0925,0.0691666666667
YAL047C,,0.0633333333333,0.0275,0.0283333333333,0.0316666666667,0.0133333333333,0.0183333333333,0.0166666666667,,0.065,,
YAL047W-A,,,,,0.0,,,,,,,
YAL049C,0.143333333333,0.146666666667,0.0766666666667,0.0796666666667,0.0858333333333,0.0519444444444,0.0514583333333,0.0522222222222,0.116666666667,0.1125,0.144444444444,0.108333333333
YAL051W,,,0.0233333333333,0.0216666666667,0.0266666666667,0.0166666666667,0.0166666666667,0.0116666666667,0.05,0.0466666666667,0.07,0.0466666666667
YAL053W,0.085,0.0783333333333,0.0472222222222,0.035,0.045,0.0313333333333,0.0274074074074,0.0238888888889,0.0633333333333,0.0625,0.075,0.0583333333333
YAL054C,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
YAL055W,,,0.0383333333333,0.035,0.0366666666667,0.0294444444444,0.0416666666667,0.0266666666667,0.0766666666667,,,0.0733333333333
YAL056W,0.0166666666667,0.0266666666667,0.0188888888889,0.01,0.00833333333333,0.0116666666667,0.00833333333333,0.01,0.0183333333333,0.0183333333333,0.025,0.015
YAL058W,0.0733333333333,0.08,0.0266666666667,0.0225,0.025,0.0138888888889,0.0170833333333,0.015,0.0408333333333,0.0408333333333,0.0783333333333,0.055
YAL059W,0.126666666667,0.126666666667,0.0616666666667,0.06,0.0775,0.0406666666667,0.046,0.0395238095238,0.095,0.0927777777778,0.141666666667,0.0883333333333
YAL060W,0.12,0.116666666667,0.0508333333333,0.0581481481481,0.0547222222222,0.0402380952381,0.0368181818182,0.035,0.0843333333333,0.0966666666667,0.117222222222,0.0838888888889
YAL061W,,,0.0616666666667,0.0716666666667,0.0616666666667,0.0583333333333,0.0516666666667,0.0483333333333,0.0916666666667,,0.118333333333,0.101666666667
YAL062W,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
YAL063C,,,,,,,,0.0,,,,
YAL063C-A,,,0.0,,,,0.0,0.0,,,,
YAL067C,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0
YAR002C-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAR002W,0.12,0.123333333333,0.0591666666667,0.0572222222222,0.05875,0.0376666666667,0.0338888888889,0.0378571428571,0.0841666666667,0.0916666666667,0.09,0.0795833333333
YAR003W,,,0.0233333333333,,,0.0133333333333,0.0116666666667,,,,,
YAR007C,,0.123333333333,0.0644444444444,0.071,0.0577777777778,0.0433333333333,0.045,0.0433333333333,0.0983333333333,,,0.0975
YAR008W,,0.106666666667,0.0433333333333,0.0533333333333,0.0483333333333,,0.0275,0.0225,,,,0.055
YAR014C,0.0666666666667,,0.03,0.0311111111111,0.0361111111111,0.0253333333333,0.0211111111111,0.0205555555556,0.0516666666667,0.055,0.0716666666667,0.0633333333333
YAR015W,0.142619047619,0.141666666667,0.0734027777778,0.0721875,0.0771428571429,0.0523958333333,0.0519444444444,0.05,0.109259259259,0.11,0.14,0.10119047619
