,gene,experimental translation rate per transcript [s^-1],modelled translation rate [s^-1],transcript abundance,initiation rate [s^-1],ORF length [nts],CAI
0,YAL008W,0.201307481854,0.293785310735,3.0,3.02440895293e-06,597.0,0.709594037073
1,YBR255W,0.0290695443645,0.0223170146049,1.0,6.37690363387e-07,2085.0,0.723708456072
2,YGR164W,0.28579077381,,,,336.0,
3,YGR131W,0.12458961039,,,,525.0,0.729506416752
4,YNL003C,0.0728441254652,0.0841807909605,3.0,7.71557770383e-07,855.0,0.714272500252
5,YBR135W,0.254677811225,0.372891889602,5.0,2.14908725551e-06,453.0,0.672722968205
6,YBR160W,0.172828654437,0.312711864407,4.0,2.46283668261e-06,897.0,0.725273393508
7,YJL142C,0.291782697201,,,,393.0,
8,YPL191C,0.0181822938527,0.0324858757062,1.0,1.07214502826e-06,1083.0,0.751112179024
9,YGL215W,0.0476355609071,0.110455097602,11.0,2.75489867222e-07,1359.0,0.761102849244
10,YKL074C,0.0953388429752,0.0531088448827,1.0,1.37450025002e-06,1584.0,0.729523379552
11,YJL077C,0.266133363942,,,,396.0,0.647865994722
12,YKL096W-A,0.287259693711,,,,279.0,0.836496268392
13,YIL124W,0.196881465663,0.588700564972,9.0,2.11186602634e-06,894.0,0.760434813738
14,YIL171W,0.185638292011,,,,330.0,
15,YPL039W,0.060869706529,0.0296610169492,1.0,8.5346561415e-07,951.0,0.698570889446
16,YNL170W,0.305858937863,,,,396.0,
17,YKL048C,0.00993991396019,0.016384643634,1.0,4.29736707547e-07,1923.0,0.717659953989
18,YJL179W,0.349560449954,0.6647080426,7.0,3.06749493238e-06,330.0,0.785233142991
19,YKL083W,0.171837280118,,,,615.0,
20,YOR009W,0.0678581470442,,,,1464.0,0.778788898996
21,YKL029C,0.0804142183024,0.755367231639,12.0,1.82073964823e-06,2010.0,0.709077841838
22,YLR220W,0.0745617787785,0.234745762712,4.0,1.68244171907e-06,969.0,0.703955546413
23,YHR025W,0.16613594041,1.63107344633,20.0,2.29884325049e-06,1074.0,0.722521485945
24,YOL034W,0.031038373682,0.023446990028,1.0,5.89855670494e-07,3282.0,0.757803733437
25,YBL008W,0.0242844016863,0.0629961298342,2.0,7.50185093103e-07,2523.0,0.738182126658
26,YIL062C,0.255109384164,1.21610169492,15.0,2.41867227128e-06,465.0,0.712926797016
27,YCL023C,0.294607001045,,,,348.0,
28,YOL116W,0.0544676002848,0.0706214689266,2.0,9.12546776898e-07,1149.0,0.706072526936
29,YDR196C,0.0970915351866,0.152259887006,3.0,1.4224039544e-06,726.0,0.737289097984
30,YBR280C,0.0523033649088,0.0355942258256,1.0,1.06835200413e-06,1914.0,0.717541941059
31,YNR032W,0.0569774164408,0.0593220338983,2.0,8.48068497008e-07,1107.0,0.699621127983
32,YNR045W,0.0693008266337,0.0220345207492,1.0,6.7141313749e-07,1470.0,0.662033157391
33,YML105C,0.0816733023667,0.612711864407,7.0,2.514210028e-06,822.0,0.750170177281
34,YNL288W,0.0864260006482,0.150564971752,3.0,1.45210297054e-06,1122.0,0.698896457205
35,YIL059C,0.0514287961583,,,,366.0,
36,YIL004C,0.162615856237,0.246327683616,4.0,1.76110449027e-06,429.0,0.707142839219
37,YNR018W,0.103579124579,0.801129943503,12.0,1.94070223047e-06,675.0,0.666680020305
38,YPL144W,0.148407768965,0.170056497175,4.0,1.28141961236e-06,447.0,0.670980227574
39,YHR078W,0.036178585128,0.024576965451,2.0,3.80495464462e-07,1659.0,0.707599191711
40,YJR115W,0.179106862745,,,,510.0,0.637197481705
41,YLR355C,0.183890488215,28.634180791,150.0,5.91961576229e-06,1188.0,0.801729207361
42,YGR099W,0.0318751374412,0.0378541766717,2.0,5.47539041859e-07,2067.0,0.688646192288
43,YLR300W,0.16204297991,2.02937853107,34.0,2.0354731551e-06,1347.0,0.785647061276
44,YBL003C,0.16874025974,,,,399.0,0.881805481084
45,YJR140C,0.0404714451979,0.0372891889602,2.0,5.4190148286e-07,4947.0,0.7361052041
46,YOR033C,0.0270370274581,0.0279668917201,2.0,4.09708451103e-07,2109.0,0.731551209459
47,YOR062C,0.129097780782,,0.0,8.55457591225e-07,807.0,0.682397317523
48,YBR043C,0.0272801054018,0.0118647419419,1.0,3.47958289883e-07,2070.0,0.722207476347
49,YHR112C,0.140559500013,0.109322033898,2.0,1.66304873934e-06,1137.0,0.724170218818
50,YHR007C,0.156355681105,3.38418079096,44.0,2.26336929677e-06,1593.0,0.828386506651
51,YKR103W,0.0173457130783,,,,3657.0,0.735765858051
52,YKR084C,0.0871290189476,0.344632768362,6.0,1.59708164962e-06,1836.0,0.745062088939
53,YER121W,0.428397540624,,,,345.0,0.754630773103
54,YCR046C,0.138815508021,0.281355932204,7.0,1.23857690131e-06,510.0,0.583819471072
55,YNL144C,0.0307646096593,,0.0,4.84111124956e-07,2223.0,0.715324990287
56,YKL204W,0.130147904001,0.203960563858,3.0,2.068906476e-06,1899.0,0.754717052539
57,YOR266W,0.0497710120069,0.0310743241335,1.0,8.39253858562e-07,1272.0,0.724384413038
58,YDR393W,0.176087995933,0.0457627118644,2.0,6.45001883429e-07,1371.0,0.732589744224
59,YGL171W,0.143009464557,0.264124293785,4.0,1.89061000992e-06,1695.0,0.765237007041
60,YPR194C,0.00659520029452,,,,2634.0,0.766396201954
61,YGR019W,0.159686875107,0.328531073447,4.0,2.48669410119e-06,1416.0,0.783549939275
62,YOR382W,0.280928735406,2.38114071019,20.0,3.662301768e-06,462.0,0.767813516478
63,YJL188C,0.150502108463,,,,309.0,
64,YLL057C,0.050466725365,,,,1239.0,0.744417185195
65,YNL229C,0.156622734386,0.308474576271,4.0,2.31200070025e-06,1065.0,0.735862976925
