ORF	Length	RPF	mRNA	TE	IP	FEatg	FEcap
YAL001C	1160	0.0490956072351421	0.181818181818182	0.270025839793282	0.000354894655644014	-4.9	NA
YAL003W	206	29.2705314009662	8.6969696969697	3.36560117153967	0.0109166810852027	0	-4.6
YAL007C	215	0.657407407407407	0.848484848484849	0.774801587301587	0.00131754875055248	-3.2	-9.6
YAL008W	198	0.195979899497487	0.242424242424242	0.808417085427136	0.00105946160090598	-1.4	-9.7
YAL012W	394	3.6379746835443	0.393939393939394	9.234858812074	0.0178615160474522	0	-1.3
YAL016W	635	0.595911949685535	0.727272727272727	0.81937893081761	0.00120425886362111	-1.2	-14.6
YAL022C	517	0.127413127413127	0.242424242424242	0.525579150579151	0.000638856896802436	-2.3	-19
YAL023C	759	0.730263157894737	0.363636363636364	2.00822368421053	0.00331159106407446	-0.9	-11.3
YAL025C	306	0.716612377850163	0.909090909090909	0.788273615635179	0.00123310007693269	-1.3	-8.5
YAL029C	1471	0.0577445652173913	0.424242424242424	0.136112189440994	0.000193607778818327	0	NA
YAL033W	173	0.275862068965517	0.878787878787879	0.313912009512485	0.00034053235407835	0	NA
YAL035W	1002	1.90229312063809	0.787878787878788	2.41444896080988	0.00489312669741781	-0.7	-4.7
YAL036C	369	0.72972972972973	0.818181818181818	0.891891891891892	0.00148203572985462	-2.6	NA
YAL038W	500	51.499001996008	7.93939393939394	6.48651551858116	0.0209849517639981	0	-6.3
YAL042W	415	0.478365384615385	1.27272727272727	0.375858516483516	0.000452549264395588	0	-17.8
YAL044C	170	2.11111111111111	3.63636363636364	0.580555555555556	0.000811192525884779	0	-9
YAL044WA	110	0.414414414414414	0.424242424242424	0.976833976833977	0.00137250897703273	0	NA
YAL046C	118	0.378151260504202	0.303030303030303	1.24789915966387	0.00145205042938044	0	NA
YAL059W	212	0.450704225352113	0.878787878787879	0.51287032540068	0.00081305769496966	-1.9	NA
YAL060W	382	0.253263707571802	0.696969696969697	0.363378363037802	0.00056232359094543	-2.1	NA
YAR002CA	219	1.09545454545455	1.03030303030303	1.06323529411765	0.0020125781665861	-0.3	NA
YAR002W	539	0.3	0.181818181818182	1.65	0.00226946543288761	-1.1	-9.5
YAR003W	426	0.0913348946135831	0.181818181818182	0.502341920374707	0.000573056907868822	0	-13.5
YAR007C	621	0.382636655948553	0.272727272727273	1.40300107181136	0.00219102986529993	0	NA
YAR014C	709	0.146478873239437	0.333333333333333	0.43943661971831	0.000561831910501217	-4.7	-16
YAR015W	306	1.5928338762215	1.63636363636364	0.973398479913138	0.00159854248053789	0	-12.9
YAR027W	235	0.292372881355932	0.757575757575758	0.385932203389831	0.000456780921367086	0	NA
YBL001C	104	1.42857142857143	1.75757575757576	0.812807881773399	0.00146712336633024	-2.1	-9.2
YBL002W	131	8.21212121212121	4.81818181818182	1.70440251572327	0.00445688619832525	0	-8
YBL006C	180	0.292817679558011	1.03030303030303	0.284205394865128	0.000266025222074486	-2.2	NA
YBL007C	1244	0.580722891566265	0.363636363636364	1.59698795180723	0.00254348603118933	-1.4	-12.8
YBL011W	759	0.0828947368421053	0.181818181818182	0.455921052631579	0.000643928186817799	-1.9	-12.5
YBL016W	353	0.19774011299435	0.424242424242424	0.466101694915254	0.000537309414592926	0	NA
YBL017C	1579	0.234177215189873	0.303030303030303	0.772784810126582	0.00113114354771093	-1.2	NA
YBL018C	133	0.358208955223881	0.818181818181818	0.437810945273632	0.00067502024638339	-0.1	-12.6
YBL022C	1133	0.337742504409171	0.212121212121212	1.59221466364324	0.00239900721870744	-1.3	-15.1
YBL023C	868	0.113924050632911	0.181818181818182	0.626582278481013	0.00096993233059931	0	NA
YBL024W	684	0.871532846715328	0.484848484848485	1.79753649635037	0.00319821819458044	-1.6	NA
YBL026W	95	1.5625	0.848484848484849	1.84151785714286	0.002754883169776	-1.7	NA
YBL028C	106	1.42056074766355	2.87878787878788	0.493457943925234	0.00101238246933686	-1.4	-7
YBL032W	381	0.727748691099476	0.393939393939394	1.84736206202175	0.00269022031995991	0	NA
YBL033C	345	0.170520231213873	0.363636363636364	0.46893063583815	0.000540285813200353	0	-2.3
YBL036C	257	0.589147286821705	0.696969696969697	0.845298281092012	0.00146467916528471	-2.4	-5.5
