ORF	Length	RPF	mRNA	TE	IP	FEcap	uATG	utr
YAL001C	1160	18.12	37.8	0.479365079365079	0.000591287331273676	NA	NA	NA
YAL002W	1274	5.73	22.17	0.258457374830853	0.000298921919353378	-7	1	136
YAL003W	206	7065.07	4621.93	1.52859736084276	0.00465327934775768	-1.5	0	22
YAL007C	215	209.47	212.43	0.986065998211175	0.00157369375701685	-9.4	0	76
YAL008W	198	95.55	49.96	1.91253002401922	0.00235231807450303	-9.3	0	49
YAL009W	259	18.89	34.96	0.54033180778032	0.00060905277365597	-18	0	26
YAL010C	493	11.05	16.67	0.662867426514697	0.000795874820939731	-5.5	0	42
YAL011W	625	10.5	17.4	0.603448275862069	0.000757286740900966	-9	0	15
YAL012W	394	1094.02	568.35	1.92490542799331	0.00349410138073666	-1.5	0	65
YAL013W	405	40.68	25.52	1.59404388714734	0.00168992599693992	-8	0	19
YAL014C	255	29.91	63.3	0.472511848341232	0.000454395602706035	-13.3	1	49
YAL015C	399	13.4	23.07	0.580840918942349	0.000656200160106158	NA	NA	NA
YAL016W	635	155	143.31	1.08157141860303	0.00149186081779973	-6.9	0	88
YAL017W	1356	20.26	50.59	0.400474402055742	0.000482671253059891	NA	NA	NA
YAL019W	1131	36.23	74.28	0.487749057619817	0.000659504166242168	-13.4	0	111
YAL020C	333	13.6	25.42	0.53501180173092	0.000555540651829697	NA	NA	NA
YAL021C	837	60.77	92.55	0.656618044300378	0.000790597191319212	NA	NA	NA
YAL022C	517	36.38	61.02	0.596197967879384	0.000680133234373188	-11.7	0	17
YAL023C	759	226.78	342.37	0.662382802231504	0.00102511293160897	-5.9	0	89
YAL024C	1435	7.82	25.86	0.302397525135344	0.00036329722536357	NA	NA	NA
YAL025C	306	133.77	58.06	2.30399586634516	0.00338252547831417	-7.2	0	24
YAL026C	1355	25.1	74.53	0.336777136723467	0.000503030786096231	NA	NA	NA
YAL027W	261	14.4	18.86	0.763520678685048	0.000863997478082985	-4.9	1	81
YAL028W	528	2.59	8.11	0.319358816276202	0.000343291801973488	NA	NA	NA
YAL029C	1471	20.31	79.19	0.256471776739487	0.000342376075612612	NA	NA	NA
YAL030W	117	134.79	127.45	1.05759121224009	0.00130070703405774	-11	0	23
YAL031C	760	11.53	26.23	0.4395730080061	0.000531651094470004	NA	NA	NA
YAL032C	379	19.56	24.41	0.801310938140106	0.000990911169463032	-5	0	21
YAL033W	173	56.85	61.73	0.92094605540256	0.000937610987977122	NA	NA	NA
YAL034C	413	2.57	18.23	0.140976412506857	0.000173227764417467	NA	NA	NA
YAL034WA	289	16.1	14.48	1.11187845303867	0.0012973484680998	-9	0	45
YAL035W	1002	420.29	403.99	1.04034753335479	0.00197872262793049	-4	0	27
YAL036C	369	175.34	147.38	1.18971366535487	0.00185535472611986	NA	NA	NA
YAL038W	500	15983.24	11070.27	1.44379857040524	0.00438370345713572	-4	0	28
YAL039C	269	43.33	21.95	1.97403189066059	0.00238014679501555	-3.2	0	57
YAL040C	580	11.13	35.55	0.313080168776371	0.000420675086829678	-8.8	1	322
YAL041W	854	27.46	53.48	0.513462976813762	0.000578077606242867	-13.7	0	33
YAL042W	415	172.3	263.39	0.65416302820912	0.000739206045091777	-11.7	0	17
YAL043C	785	30.39	55.3	0.549547920433996	0.000607659873491582	NA	NA	NA
YAL044C	170	704.01	450.75	1.56186356073211	0.00204814780537094	-7.3	0	10
YAL044WA	110	132.76	115.43	1.15013428051633	0.00151663485025471	-12.7	0	2
YAL046C	118	114.48	106.35	1.07644569816643	0.00117552638233747	NA	NA	NA
YAL047C	622	9.27	16.7	0.555089820359281	0.000665598004786149	NA	NA	NA
YAL048C	662	9.92	19.11	0.519099947671376	0.000644535880492117	-13.2	0	2
YAL049C	246	123.6	94.23	1.31168417701369	0.00195323301533089	NA	NA	NA
YAL051W	1047	16.27	32.25	0.504496124031008	0.000646078675384459	-8.8	0	26
YAL053W	783	47.4	63.73	0.743762749097756	0.000971856191218392	NA	NA	NA
YAL055W	180	22.93	23.24	0.986660929432014	0.0011183195593104	-3.4	0	1
YAL056W	880	8.51	39.15	0.217369093231162	0.000266393374058223	NA	NA	NA
YAL058W	502	22.87	44.41	0.514974104931322	0.000643633654785388	NA	NA	NA
YAL059W	212	89.21	85.66	1.04144291384544	0.00154948475892156	NA	NA	NA
YAL060W	382	175.34	187.71	0.934100474135635	0.00135662207193152	NA	NA	NA
YAL061W	417	27.94	21.72	1.28637200736648	0.00171553073039106	NA	NA	NA
YAR002CA	219	351.91	322.26	1.09200645441569	0.00193993252404468	NA	NA	NA
YAR002W	539	78.64	70.67	1.11277769916513	0.00143643536244143	-3.9	0	43
YAR003W	426	15.95	33.97	0.469531939947012	0.000502691472096825	-11.5	0	86
YAR007C	621	102.65	82.58	1.24303705497699	0.00182184915835782	NA	NA	NA
YAR008W	275	24.93	28.99	0.85995170748534	0.00102934095868374	NA	NA	NA
YAR014C	709	41.09	69.97	0.587251679291125	0.000704648401325916	-11.8	0	151
YAR015W	306	284.91	215.52	1.32196547884187	0.00203747214095106	-12.6	0	104
YAR018C	435	17.35	34.73	0.499568096746329	0.000605624410617885	NA	NA	NA
YAR019C	974	4.97	16.27	0.305470190534726	0.000376630677306935	-10.3	0	34
YAR027W	235	69.28	66.39	1.04353065220666	0.00115915148036112	NA	NA	NA
YAR028W	234	34.8	37.65	0.924302788844621	0.00107718234059774	NA	NA	NA
YAR035W	687	1.41	6.45	0.218604651162791	0.00022739080455667	NA	NA	NA
YAR042W	1188	26.06	62.26	0.418567298425956	0.000567095402468358	NA	NA	NA
YBL001C	104	377.28	280.62	1.34445157152021	0.00227751862613741	-9.2	0	62
YBL002W	131	1829.22	1005.72	1.81881637036153	0.00446361038668157	-2.8	0	24
YBL004W	2493	42.94	150.69	0.284955869666202	0.000346839322196723	NA	NA	NA
YBL005W	976	8.44	30.05	0.280865224625624	0.000354911870652947	NA	NA	NA
YBL006C	180	85.13	103.9	0.81934552454283	0.000719773129018025	NA	NA	NA
YBL007C	1244	127.96	192.07	0.666215442286666	0.000995819115861079	-11.9	0	50
YBL008W	840	14.18	30.82	0.460090850097339	0.000583477294635963	NA	NA	NA
YBL009W	676	25.48	33.42	0.762417713943746	0.000924535157703178	-10.5	1	38
YBL010C	280	21.77	22.15	0.982844243792325	0.00115746144363602	-14.4	0	3
YBL011W	759	31.5	86.24	0.36525974025974	0.000484158590348789	-9.7	1	102
