gene,L,x,b,B,g,w,P,Pz,Ps,T,I,E,mean_E,h,m,queue
YAL001C,1161,1.30,88.97,115.34,0.4911,5.70,2.021124e-05,3.601322e-05,8.518307e-03,331561,49477,282084,243.0,3051071,4401764,0
YAL002W,1275,0.40,149.63,59.80,0.7154,9.12,2.917496e-05,1.110213e-05,3.988653e-02,346940,34276,312664,245.2,3554867,5128588,0
YAL003W,207,66.59,1381.01,91961.73,5.0040,10.36,4.718202e-04,1.849722e-03,3.871617e-03,24073,2119,21954,106.1,2028837,2926993,0
YAL007C,216,11.16,311.55,3475.76,0.9202,1.99,4.978330e-05,3.098954e-04,2.438321e-03,60013,20087,39926,184.8,4337843,6258185,0
YAL008W,199,2.22,153.18,340.47,1.2307,2.45,5.173771e-05,6.174335e-05,1.271860e-02,66665,19328,47337,237.9,2052141,2960614,0
YAL009W,260,4.17,4.48,18.67,0.1245,0.32,5.000887e-06,1.157025e-04,6.560344e-04,264701,199965,64736,249.0,621212,896219,0
YAL010C,494,1.46,NA,NA,0.4507,2.23,1.899323e-05,4.049827e-05,7.118436e-03,169883,52650,117233,237.3,NA,NA,0
YAL011W,626,0.63,358.23,225.01,0.7748,4.85,3.192982e-05,1.744760e-05,2.777686e-02,183223,31319,151904,242.7,7776518,11219144,0
YAL013W,421,1.11,231.87,257.12,1.0270,4.32,3.951625e-05,3.080281e-05,1.947187e-02,134721,25306,109415,259.9,4067231,5867774,0
YAL014C,256,1.87,29.48,55.22,0.7915,2.03,2.715776e-05,5.203415e-05,7.921873e-03,111433,36822,74611,291.4,752328,1085380,0
YAL015C,400,2.17,65.09,141.20,0.2533,1.01,9.946763e-06,6.025577e-05,2.505564e-03,202381,100535,101846,254.6,4536141,6544268,0
YAL016W,636,6.22,293.38,1826.01,1.2705,8.08,5.954119e-05,1.728882e-04,5.227264e-03,152507,16795,135712,213.4,3415418,4927406,0
YAL017W,1357,0.66,644.14,422.38,0.9822,13.33,4.154340e-05,1.821475e-05,3.461793e-02,344908,24071,320837,236.4,10747365,15505171,0
YAL019W,1132,1.16,664.40,771.69,1.5422,17.46,6.914656e-05,3.226367e-05,3.252963e-02,266934,14462,252472,223.0,6660126,9608530,0
YAL020C,334,1.82,15.27,27.72,0.3047,1.02,1.088137e-05,5.043149e-05,3.274947e-03,185438,91900,93538,280.1,972753,1403386,0
YAL021C,838,0.94,5112.05,4830.75,3.5192,29.49,1.474952e-04,2.624929e-05,8.528694e-02,206725,6780,199945,238.6,24023833,34659064,0
YAL022C,518,3.94,148.20,584.25,0.4500,2.33,1.856031e-05,1.095063e-04,2.572577e-03,179471,53878,125593,242.5,5534788,7985011,0
YAL023C,760,2.83,1708.60,4836.06,3.0368,23.08,1.622588e-04,7.862298e-05,3.132428e-02,148403,6163,142240,187.2,7298898,10530084,0
YAL024C,1436,0.37,324.13,119.20,0.6809,9.78,2.833026e-05,1.021550e-05,4.209332e-02,380437,35298,345139,240.3,7930326,11441042,0
YAL025C,307,9.52,258.02,2456.97,0.9943,3.05,4.789005e-05,2.645071e-04,2.748086e-03,84621,20881,63740,207.6,3734568,5387843,0
YAL026C,1356,1.08,NA,NA,1.0124,13.73,5.038052e-05,2.991145e-05,2.556510e-02,292347,19849,272498,201.0,NA,NA,0
YAL027W,262,3.64,19.70,71.72,0.2775,0.73,1.033049e-05,1.011323e-04,1.550434e-03,167179,96801,70378,268.6,1321752,1906886,0
YAL029C,1472,1.17,689.14,806.01,0.8297,12.21,3.709356e-05,3.248846e-05,1.732973e-02,356197,26959,329238,223.7,12877658,18578534,0
