ORF,Length,RPF,mRNA,TE,IP
YAL001C,1160,8.8043,32.7625,0.268731018695154,0.000485424178097527
YAL002W,1274,3.933,10.1,0.389405940594059,0.000659542568018894
YAL003W,206,4714.6504,1682.7575,2.80174083312658,0.0124900852975283
YAL007C,215,140.8416,281.9228,0.499575060974139,0.00116757937144886
YAL008W,198,37.5198,56.1701,0.667967477358951,0.00120313545878035
YAL009W,259,7.119,105.2586,0.0676334285274552,0.000111641900236136
YAL010C,493,9.0311,36.8427,0.24512590011047,0.000431001432252838
YAL011W,625,6.6901,15.8727,0.421484687545282,0.000774592929749591
YAL012W,394,597.1954,87.5667,6.81989157979003,0.0181290480508803
YAL013W,405,15.6474,28.0224,0.558389003083248,0.000866913357043125
YAL014C,255,20.3509,47.3373,0.429912563665439,0.000605442604901012
YAL015C,399,7.5476,54.8168,0.137687716174603,0.000227795819410682
YAL016W,635,108.707,157.2825,0.691157630378459,0.00139611642851296
YAL017W,1356,8.859,16.5706,0.53462155866414,0.00094361441121513
YAL018C,325,0,0.8174,0,0
YAL019W,1131,24.6356,29.3514,0.839333047145962,0.001661984053225
YAL020C,333,7.5985,45.8793,0.165619353390309,0.000251845961805566
YAL021C,837,45.7283,23.8799,1.91492845447426,0.00337649749103196
YAL022C,517,24.382,99.6217,0.24474587363998,0.000408874766320688
YAL023C,759,118.1826,71.5261,1.65230034910333,0.00374475219113096
YAL024C,1435,3.4444,9.2934,0.370628618159124,0.000652070005900331
YAL025C,306,130.0117,240.6314,0.540293993219505,0.00116161161304595
YAL026C,1355,14.9954,27.2115,0.551068482075593,0.00120539382559335
YAL027W,261,13.8679,92.0036,0.150732145263881,0.000249786507803376
YAL028W,528,2.4654,6.4279,0.383546725991381,0.000603773749786612
YAL029C,1471,13.3476,29.5559,0.451605263246932,0.000882864895956996
YAL030W,117,85.0445,39.2226,2.16825248708653,0.00390519687885754
YAL031C,760,7.1286,23.4017,0.304618895208468,0.000539540387133767
YAL032C,379,18.416,36.6524,0.502450044199016,0.000909909012077141
YAL033W,173,64.9253,206.3882,0.314578546641717,0.000469017473420145
YAL034C,413,2.6519,5.7957,0.457563365943717,0.000823367493446355
YAL034WA,289,12.2956,34.221,0.359299845124339,0.000613942621312832
YAL035W,1002,372.6568,143.4037,2.59865540428873,0.00723813363261363
YAL036C,369,139.8067,209.9985,0.665750945840089,0.00152043452218709
YAL037CA,30,0,4.2163,0,0
YAL037W,267,1.0233,28.3265,0.0361251831324025,5.49438474352954e-05
YAL038W,500,8768.0856,1930.8714,4.54099926074828,0.0201909808375014
YAL039C,269,20.314,49.8216,0.407734797758402,0.000719944106516893
YAL040C,580,6.3806,16.5268,0.386075949367089,0.000759688245657456
YAL041W,854,19.197,46.4989,0.412848475985453,0.000680673937753212
YAL042W,415,96.1656,375.8724,0.255846398937512,0.000423379911923876
YAL043C,785,20.7934,28.4286,0.731425395552366,0.00118439468636708
YAL044C,170,419.5806,989.6987,0.423947813612365,0.000814145499761223
YAL044WA,110,65.2413,79.5114,0.820527622454139,0.00158451776976925
YAL046C,118,74.0895,85.911,0.862398295910885,0.00137917561095484
YAL047C,622,11.0202,20.4448,0.539022147440914,0.000946513436137232
YAL048C,662,5.4887,15.2896,0.358982576391796,0.000652741024813494
YAL049C,246,72.4291,121.835,0.594485164361637,0.001296394628584
YAL051W,1047,9.5688,16.2332,0.589458640317374,0.00110548368071339
YAL053W,783,29.7806,50.1959,0.593287499576659,0.00113528318492486
YAL054C,713,0.6732,3.7364,0.180173428969061,0.000426437295774537
YAL055W,180,18.1596,29.7653,0.610092960595055,0.00101266413417599
YAL056W,880,5.067,63.4513,0.0798565198821774,0.000143320207965068
YAL058W,502,10.3708,42.944,0.241495901639344,0.000442012491715286
YAL059W,212,84.9195,246.8263,0.344045589955365,0.000749616711323123
YAL060W,382,48.5462,124.2354,0.390759799541837,0.000831087191723638
YAL061W,417,6.4023,15.6264,0.409710489940101,0.000800166618742867
YAL067C,593,0.809,3.7046,0.21837715272904,0.000453794408401656
YAR002CA,219,199.9578,396.9157,0.503779014032451,0.00131060830616929
YAR002W,539,55.0425,76.8001,0.716698285549107,0.00135483206050437
YAR003W,426,12.8566,87.7268,0.146552706812513,0.000229774402988861
YAR007C,621,80.5763,72.7973,1.10685835875781,0.00237570119004961
YAR008W,275,9.9367,98.93,0.100441726473264,0.000176064089496601
YAR014C,709,25.4097,67.5427,0.37620201739048,0.00066105980124679
YAR015W,306,331.2842,561.3286,0.590178729535605,0.00133206845248285
YAR018C,435,14.6377,22.932,0.638308913308913,0.00113321159570589
YAR019C,974,1.8315,7.5265,0.243340197967183,0.000439371757618655
YAR023C,179,1.5217,29.9301,0.0508417947150193,8.21007672874165e-05
YAR027W,235,50.5303,181.374,0.278597263113787,0.000453193063999746
YAR028W,234,22.1644,98.5785,0.22484010205065,0.000383725057852924
YAR029W,74,0.9083,63.5227,0.0142988254592453,2.49736984421099e-05
YAR035W,687,0.499,1.6479,0.30280963650707,0.000461269370349696
YAR042W,1188,11.2655,13.692,0.822779725387087,0.00163247236367835
YBL001C,104,251.0668,403.0731,0.622881556720109,0.00154523192079836
YBL002W,131,1628.2557,1190.5677,1.36762966104321,0.00491515662161941
YBL004W,2493,28.4044,28.2052,1.0070625274772,0.00179505840206694
