Gene name (systematic),Gene name (standard),ref,Class,M (Beyer)1,L (in codon),alpha_phys,J_phys,rho_phys,Jmax,rho_max
YAL001C,TFC3,0,abrupt,"0,62",1161,"0,02760","0,02584","0,00468","0,22050","0,10116"
YAL002W,VPS8,1,abrupt,"0,33",1275,"0,01219","0,01186","0,00226","0,21615","0,08763"
YAL003W,EFB1,2,smooth,"61,95",207,"0,35975","0,26601","0,02501","0,75684","0,08909"
YAL004W,,3,hybrid,"0,2",216,#N/A,#N/A,#N/A,"0,22350","0,07237"
YAL005C,SSA1,4,smooth,"11,69",643,#N/A,#N/A,#N/A,"0,47488","0,05179"
YAL007C,ERP2,5,abrupt,"1,94",216,"0,08639","0,07659","0,01118","0,36010","0,09664"
YAL008W,FUN14,6,hybrid,"0,9",199,"0,15050","0,12175","0,02323","0,26133","0,08306"
YAL009W,SPO7,7,smooth,"0,6",260,"0,04768","0,04373","0,00842","0,29066","0,08126"
YAL010C,MDM10,8,abrupt,"0,33",494,"0,07369","0,06416","0,01171","0,25766","0,07457"
YAL011W,SWC3,9,abrupt,"0,56",626,"0,04132","0,03870","0,00690","0,24618","0,06377"
YAL012W,CYS3,10,hybrid,"14,13",395,"0,17811","0,15029","0,02119","0,29672","0,05896"
YAL013W,DEP1,11,hybrid,"1,24",421,"0,09351","0,07575","0,01536","0,25955","0,08368"
YAL014C,SYN8,12,hybrid,"1,27",256,"0,04573","0,04286","0,00980","0,22625","0,08776"
YAL015C,NTG1,13,hybrid,"0,49",400,"0,05698","0,05297","0,01055","0,21160","0,06572"
YAL016W,TPD3,15,hybrid,"3,66",636,"0,10234","0,08521","0,01438","0,28619","0,08655"
YAL017W,PSK1,16,abrupt,"0,45",1357,"0,03363","0,03176","0,00581","0,25240","0,06710"
YAL018C,,17,abrupt,"0,11",326,"0,14403","0,11792","0,02025","0,27176","0,08300"
YAL019W-A,,18,hybrid,"3,88",190,"0,04316","0,03933","0,00787","0,25451","0,08099"
YAL019W,FUN30,19,smooth,"0,96",1132,#N/A,#N/A,#N/A,"0,24965","0,04851"
YAL020C,ATS1,20,abrupt,"0,53",334,"0,08617","0,07401","0,01567","0,25496","0,07856"
YAL021C,CCR4,21,smooth,"1,41",838,"0,07471","0,06781","0,01268","0,21267","0,04532"
YAL022C,FUN26,22,abrupt,"1,02",518,"0,09678","0,08546","0,01700","0,23643","0,08448"
YAL023C,PMT2,23,hybrid,"3,8",760,"0,14237","0,10812","0,01665","0,27920","0,05901"
YAL024C,LTE1,24,hybrid,"0,16",1436,"0,03039","0,02864","0,00515","0,25337","0,06298"
YAL025C,MAK16,25,hybrid,"2,12",307,"0,12317","0,10794","0,01692","0,30302","0,06351"
YAL026C,DRS2,27,smooth,"0,36",1356,#N/A,#N/A,#N/A,"0,26924","0,04907"
YAL027W,SAW1,28,abrupt,"0,63",262,"0,11159","0,08926","0,01784","0,26188","0,09041"
YAL028W,FRT2,29,abrupt,"0,19",529,"0,04398","0,04146","0,00851","0,21359","0,08104"
YAL029C,MYO4,30,abrupt,"1,58",1472,"0,01384","0,01329","0,00224","0,23444","0,07573"
YAL030W,SNC1,31,smooth,"2,99",118,"0,13112","0,10119","0,01909","0,29151","0,06792"
YAL031C,GIP4,32,hybrid,"0,49",761,"0,05094","0,04746","0,00873","0,25394","0,06684"
YAL032C,PRP45,34,hybrid,"0,18",380,"0,09428","0,08200","0,01508","0,24871","0,07573"
YAL033W,POP5,35,smooth,1,174,"0,10309","0,08914","0,01965","0,23420","0,06503"
YAL034C-B,,36,hybrid,"3,88",118,"0,03212","0,03107","0,00588","0,27749","0,07706"
YAL034C,FUN19,37,hybrid,"0,21",414,#N/A,#N/A,#N/A,"0,27408","0,07741"
YAL034W-A,MTW1,38,hybrid,"0,17",290,#N/A,#N/A,#N/A,"0,28796","0,08033"
YAL035W,FUN12,39,abrupt,"8,27",1003,"0,10053","0,08972","0,01166","0,35300","0,06604"
YAL036C,RBG1,40,abrupt,"4,63",370,"0,13427","0,11968","0,01788","0,32301","0,08717"
YAL037C-A,,42,smooth,"0,07",31,#N/A,#N/A,#N/A,"0,36302","0,08787"
YAL037W,,43,hybrid,"0,27",268,"0,08030","0,07341","0,01588","0,23105","0,08317"
YAL038W,CDC19,44,smooth,"157,24",501,"0,20519","0,16937","0,01599","0,70911","0,09206"
YAL039C,CYC3,45,smooth,"3,01",270,"0,10381","0,09266","0,01757","0,24193","0,05449"
YAL040C,CLN3,46,hybrid,"1,59",581,"0,02970","0,02852","0,00478","0,26293","0,06160"
YAL041W,CDC24,47,abrupt,"0,58",855,"0,05337","0,04920","0,00959","0,21958","0,07280"
YAL042W,ERV46,49,smooth,"3,94",416,"0,13636","0,09848","0,01984","0,26125","0,07060"
YAL043C,PTA1,50,abrupt,"0,64",786,"0,06012","0,05526","0,01108","0,22605","0,09670"
YAL044C,GCV3,51,abrupt,"8,93",171,"0,15690","0,13206","0,02433","0,29946","0,09188"
YAL045C,,53,hybrid,"0,22",103,"0,10860","0,09037","0,02279","0,22428","0,08720"
YAL046C,AIM1,54,smooth,"1,06",119,"0,10535","0,08531","0,01755","0,24952","0,06238"
YAL047C,SPC72,55,hybrid,"0,2",623,"0,08163","0,07078","0,01331","0,23867","0,06405"
YAL048C,GEM1,57,smooth,"0,18",663,"0,05330","0,04778","0,00866","0,26328","0,06222"
YAL049C,AIM2,58,abrupt,"3,13",247,"0,15317","0,12628","0,02023","0,34966","0,09370"
YAL051W,OAF1,59,abrupt,"0,6",1048,"0,06754","0,05883","0,01030","0,25508","0,07694"
YAL053W,FLC2,60,smooth,"2,47",784,"0,10329","0,08665","0,01514","0,23911","0,05042"
YAL054C,ACS1,61,smooth,"0,3",714,"0,12707","0,09751","0,01453","0,28612","0,05230"
YAL055W,PEX22,62,hybrid,"0,92",181,"0,22202","0,16705","0,03332","0,30759","0,08147"
YAL056W,GPB2,64,abrupt,"0,8",881,"0,03795","0,03648","0,00660","0,24410","0,07957"
YAL058W,CNE1,65,abrupt,"0,8",503,"0,05722","0,05377","0,00981","0,20693","0,10538"
YAL059W,ECM1,67,smooth,"3,21",213,"0,10411","0,09199","0,01405","0,33553","0,06573"
YAL060W,BDH1,68,hybrid,"1,77",383,"0,10207","0,09257","0,01508","0,29254","0,07306"
YAL061W,BDH2,69,smooth,"0,27",418,"0,05476","0,05208","0,00890","0,29425","0,06693"
YAL062W,GDH3,70,smooth,"0,32",458,"0,13655","0,10296","0,01751","0,30725","0,06954"
YAL063C,FLO9,71,abrupt,"0,11",1323,"0,01641","0,01627","0,00236","0,27464","0,10091"
YAL064C-A,TDA8,72,smooth,"0,1",127,#N/A,#N/A,#N/A,"0,39818","0,07255"
YAL064W,,73,abrupt,"0,07",109,"0,31783","0,19290","0,05840","0,21278","0,09564"
YAL064W-B,,74,smooth,"0,09",127,#N/A,#N/A,#N/A,"0,26122","0,07029"
YAL065C,,75,hybrid,"0,08",129,#N/A,#N/A,#N/A,"0,32494","0,08084"
YAL066W,,76,hybrid,"0,11",103,"0,26238","0,15785","0,04232","0,20995","0,08429"
YAL067C,SEO1,77,abrupt,"0,09",594,"0,10906","0,09523","0,01560","0,29816","0,07234"
YAL068C,PAU8,78,smooth,"3,65",121,"0,18810","0,15582","0,01668","0,64991","0,09186"
YAL069W,,79,smooth,"3,88",105,"0,32107","0,17241","0,04443","0,24215","0,07857"
YAR002C-A,ERP1,80,smooth,"3,45",220,#N/A,#N/A,#N/A,"0,27684","0,04160"
YAR002W,NUP60,81,abrupt,"1,63",540,"0,10757","0,08718","0,01502","0,27720","0,08601"
YAR003W,SWD1,82,smooth,"0,72",427,"0,03961","0,03669","0,00746","0,23034","0,06391"
YAR007C,RFA1,83,smooth,"0,92",622,"0,14635","0,10051","0,01591","0,27863","0,07236"
YAR008W,SEN34,84,smooth,"1,31",276,"0,06478","0,05899","0,01121","0,24789","0,05902"
YAR014C,BUD14,85,smooth,"0,67",708,"0,04287","0,04085","0,00740","0,23242","0,05101"
YAR015W,ADE1,86,abrupt,"3,68",307,"0,12809","0,10574","0,01635","0,34159","0,09132"
YAR018C,KIN3,87,smooth,"0,42",436,"0,11828","0,09630","0,01804","0,24637","0,05215"
YAR019C,CDC15,88,abrupt,"0,24",975,"0,04247","0,03992","0,00722","0,25050","0,07896"
YAR020C,PAU7,90,smooth,"8,86",56,"4,04692","0,68260","0,07646","0,69125","0,07787"
YAR023C,,91,smooth,"0,17",180,"0,20542","0,13647","0,02839","0,26143","0,06548"
YAR027W,UIP3,92,hybrid,"0,76",236,"0,13227","0,11204","0,02360","0,24335","0,08187"
YAR028W,,93,smooth,"0,24",235,"0,08668","0,07700","0,01496","0,26475","0,06807"
YAR029W,,94,smooth,"0,07",75,"0,45364","0,26540","0,05653","0,33780","0,08672"
YAR030C,,95,smooth,"0,1",114,"0,19310","0,14120","0,02984","0,30506","0,08959"
YAR031W,PRM9,96,smooth,"0,09",299,"0,04048","0,03759","0,00699","0,27179","0,06916"
YAR033W,MST28,97,abrupt,"0,58",235,"0,21255","0,14951","0,03185","0,23310","0,10128"
YAR035W,YAT1,98,abrupt,"0,59",688,"0,02977","0,02811","0,00583","0,24192","0,08051"
YAR042W,SWH1,99,smooth,"3,88",1189,#N/A,#N/A,#N/A,"0,22493","0,04206"
YAR047C,,100,smooth,"0,09",107,"0,26947","0,15131","0,03833","0,21700","0,06562"
YAR050W,FLO1,101,abrupt,"0,07",1538,"0,02200","0,02146","0,00309","0,27268","0,09897"
